reviewer_name,rating,date,visit_time,review_text,wisata
Lativa Desriani Putri,5,1 bulan lalu,Hari biasa,"good view bgtt, aku kesini weekdays n ga rame guyss!! wajib cobaa tiket masuk per orang 12rb (WNI) + parkir motor 5rb, tadi aku ber2 kesini, total 29rb... perjalanan dari tempat parkiran ke coban nya lumayan jauh sekitar 15-20 menit tapi ada ojek ko guys harganya 15rb",Coban Talun
Andi Yuhono,5,1 minggu lalu,Hari biasa,"Tempatnya cukup bagus, utk mencapai air terjun bisa jalan kaki atau naik ojek. Ada wahana ATV, naik jip offroad..",Coban Talun
Ary Zandy,5,1 bulan lalu,Akhir pekan,"Coba deh, ambil paket jeep offroad Coban Talun. Bener bener WAOW banget.. Medan berat bikin adrenalin naik, driver dibekali skill yg luar biasa. Aman.. Luar biasa..",Coban Talun
Wirian Risda,4,1 tahun lalu,Akhir pekan,"Ke coban Talun uda beberapa kali. Mulai dari acara pramuka, mbolang, syuting, dll. Ke cobannya, ke Kalindra, ke kebun bunganya, atau sekedar ke warungnya. Ada juga sungai dam gitu yg cukup iconic dan biasa dijadiin jalur jeep adventure. Ini next level buat yg mau abadiin momen yg sedikit effort. Ingat, ""sedikit"" yaa.. minusnya satu, karena ada outbound ya lagunya jelas rame dan kadang dj/koploan. Kedengeran jelas bgt dari kalindra. Niat hati mau healing tapi kena polusi suara. Next levelnya lagi bisa main ke bukit Kalindra. Tracknya enak bgt, ga terlalu nanjak. Malah banyak landainya. Viewnya cakepppp bgt dari sana. Kenapa kalindra? Soalnya suara deras kali (sungai) masih kedengeran dari sana dan banyak tanaman andra yg tumbuh disana.",Coban Talun
kusukasandalswalow (torokway),5,Beberapa hari lalu,Hari biasa,"Banyak wahana, mendekatkan diri kepada alam",Coban Talun
BAD tipi,5,1 minggu lalu,Akhir pekan,SQUAD atv kota batu seru asik menyajikan pengalaman baru menjelajahi alam di kota batu join yuks pasti menjadikan pengalaman tak terlupakan,Coban Talun
Prakosa,5,2 tahun lalu,Akhir pekan,Air terjunnya cukup tinggi. Pemandangan indah. Tidak terjangkau langsung dari tempat parkir. Harus berjalan dulu diantara hutan pinus sekitar 20 menit menurun menuju lokasi air terjun. Kalau tidak kuat jalan ada ojek dengan tarif 10K untuk menuju air terjun dan 15K kembali ke parkiran. Tarif beda karena jalan kembali menanjak.,Coban Talun
Alvian Rahman Perdana,5,1 minggu lalu,Akhir pekan,"Recomended ATV sih.. track nya cukup menantang, ada leader yang siap menemani dan ngasih arahan teknik2 melewati track dan ringtanganya.. Mungkin yang ikut tour jeep perlu di evaluasi penyelenggaranya, supaya tidak pakai sound kencang dan flare ketika acara di sungai.. sayang banget suasana alamnya jadi rusak..",Coban Talun
Mei Lee,5,2 tahun lalu,Akhir pekan,"- lokasi air terjunnya bagus - jalur harus ditempuh setengah jam dengan jalan Kaki - jangan datang Pas musim hujan. Karna air keruh Dan jalurnya licin... - tiket per orang 15rb - Di titik air terjunnya Ada toilet Dan warung utk minum - ( klo sy, cukup 1x aja kesini Dan gk mau lg) 🤣",Coban Talun
Izzah Fahma,4,2 tahun lalu,Akhir pekan,"Camping Ground Luas. ✓ Wastafel umum ✓ Toilet umum ✓ Banyak Spot yg bisa di explore seperti Hutan Pinus, Oyot, Air Terjun, Jeep dll Minusnya, kurang maintenance aja si ya. Ini mau ngasi bintang 3.7 aja hehe",Coban Talun
isabelle,5,2 tahun lalu,Akhir pekan,"Kali kedua ke coban talun. Bedanya kali ini off road jeep. Beneran seruuu abisss lah. Menurut aku off roadnya 10x lebih serem dari off road Merapi 😁🙏🏻. Menuritku loh yaa. Di tempat parkir off road ada banyak orang jual makanan. Aku beli baksonya. Ternyata endull loh, gak kalah sama bakso di Surabaya. Mana muraahhh lagi. Seporsi isi pentol besar 2, tahu bakso, gorengan, dan siomay tuh cuman 15 rebu doang. Rekomended seru deh pokonya.",Coban Talun
Achidah Nur Syahdana,4,2 tahun lalu,Hari libur nasional,"tahun 2019 pernah kesini, suasana masih ramai, banyak stand makanan dan jajanan sekarang sepi sekali, seperti kurang terawat.. mungkin karena lebih diutamakan yang offroad dan penginapan yaa",Coban Talun
Kaswandi Andi,5,3 tahun lalu,Akhir pekan,Liburan keluarga dengan konsep offroad 👍👍👍👍👍 Mau menginap di Pagupon sudah penuh. Akhirnya menginap di Rumah kebun Pak Lulu. Dijemput offroad dipenginapan. Staf mas Andhika sangat ramah.,Coban Talun
Arian,5,1 tahun lalu,Akhir pekan,"Air terjunnya bagus. Untuk kondisi jalan menuju air terjun cukup jauh dan sulit, kalau tidak kuat sebaiknya pakai saja jasa ojek. Jasa ojek di sana benar-benar sangat membantu. Orang-orang penduduk di sana seperti pedagang, penjaga loket masuk, ojek, dsb... sangat baik dan ramah semua. Untuk makanan di sana, ada seperti bakso, tahu telor, nasi jagung, sempol, dan masih bangak lagi, yang harganya wajar bahkan menurut saya murah. Sayangnya ga ada yang jual sate kelinci dan jagung bakar. Kalau ada tambah mantap, ga perlu turun ke kota untuk cari makanan khas batu.",Coban Talun
Djony Jeffry Patty,2,1 tahun lalu,Akhir pekan,Tempatnya sih cukup bagus tapi sayang pengelolaanya yang kurang profesional sampai hari libur pun sepi dan spot² selvinya banyak yang terbengkalai dan sepi. Karcis terusan gak ada gunanya karena tak ada penjaganya dan sepi terbengkalai.,Coban Talun
Jimi Lia Immanuel,5,1 tahun lalu,Akhir pekan,Banyak tempat yang bisa dikunjungi di dalam area tersebut..dikelola dengan baik oleh Perhutani..hanya saja perlu perawatan yang memadai..semoga bisa berkembang menjadi besar kedepannya..,Coban Talun
Nur Rohmahtulloh Indah Purnamasari,1,1 minggu lalu,Hari biasa,"Kecewa sama pelayanannya, udah nunggu lama tapi kebun bunganya gadibuka buka, akhirnya terpaksa pindah wisata, udah bayar tiket masuk dan parkir tp gak dapet apa apa",Coban Talun
Irviana Christy Septanty,5,2 tahun lalu,Akhir pekan,"Pertama kali nyoba Jeep Coban Talun, extreme banget jalannya, pas musim hujan, tapi seru abiss.. Bapaknya sopir juga sipp banget bawa mobilnya, udah pro, jadi aman, boleh lah di coba kalo pas ke Malang..",Coban Talun
Fella H. Pratami,4,1 tahun lalu,Akhir pekan,"View nya bagus. Experience nya B aja sih, tp krn ini bukan yg versi ekstrim, ga keburu soalnya.. Mgkn lebih seru kl nyoba yg versi ekstrim.",Coban Talun
Yosef R. Maro,5,3 tahun lalu,Akhir pekan,"Tempatnya bagus, hawanya sejuk tetapi aksesibilitasnya perlu diperhatikan pemerintah setempat agar lebih banyak lagi masyarakat yang berkunjung ke sana.",Coban Talun
Farah Nur Rahma,5,1 tahun lalu,Akhir pekan,"Really love the ambeience, feel so nature, calm, fresh and relax, cocok buat picnic with family, friend, or ur fav person, better kesini pas musim panas sih jgn pas musim hujan biar bisa visit semua tempat yg ada disanaa 🌿",Coban Talun
Karsan,5,2 tahun lalu,Akhir pekan,"Tempat sangat sejuk, udara seger, pemandangan bagus, sangat cocok untuk liburan keluarga atau kelompok, tempat luas untuk outbond dll",Coban Talun
khimro dulab,5,2 tahun lalu,Akhir pekan,Tempat nya masih asri dan alami Tempat parkir luas Maaf Bus dan Truk gak bisa masuk Jenis Elf di persilahkan Pingin adventure dengan mobil jenis Jeep tersedia,Coban Talun
Reza Rezanty,3,2 tahun lalu,Hari libur nasional,"Tempat dan suasana nya lumayan bagus dan sejuk, tp kurang terawat saat kami berkunjung kesana. Semoga bisa di rawat kembali untuk smua playgroundnya.",Coban Talun
AdiHutama Tour,5,1 tahun lalu,Hari biasa,"Wana wisata coban talun Area wisata yang ""bukan cuma coban"" Coban.. dalam bahasa malangan berarti air terjun, seperti halnya curug di jawa barat, atau tumpak di area lumajang Di area ini banyak spot yang bisa dikunjungi, selain coban yang masih perlu jalan kaki lumayan jauh Ada spot apache camp, pagupon camp, spot bunga matahari, kebun bunga, hutan pinus, warung makan oyot, ground buat arena outbond juga dam sungai brantas yang biasa dipakai buat seru seruan jip offroad",Coban Talun
farah naila,5,1 tahun lalu,Hari biasa,"di weekday pengunjung masih cukup ramai, jalan ke coban tidak terlalu jauh tetapi jalan sedikit menanjak dan menurun curam",Coban Talun
Anita Agustanti,5,3 tahun lalu,Hari libur nasional,"Jalan ke air terjun sdh enak,ada ojek juga klo g kuat jalan ,pokoknya top bgt",Coban Talun
Dicky Andrian,5,2 tahun lalu,Hari biasa,"Di sini cocok untuk Jeep Adventure, dan untuk Camping keluarga, semua fasilitas yg standar di butuhkan di alam ada, penduduk setempat ramah-ramah",Coban Talun
danny alfaridzi,5,3 tahun lalu,Akhir pekan,"Bagus tempatnya. Saya pas ke sana weekend tapi sepi, jadi nyaman banget sih. Tapi kenapa masih sepi ya? Kan udah ga pandemi. Makanan di sana masih masuk akal harganya, nasi pecel 10k. Harga tiket dan parkir murah. Tiketnya beli yang terusan saja lebih murah. 👌",Coban Talun
