reviewer_name,rating,date,visit_time,review_text,wisata
Trisye Dwi Ningsih,5,1 minggu lalu,Hari biasa,"Jatim Park 2 sangat recommended utk mengajak anak liburan 👍👍 Masuk sejak pagi (jam buka) sampai mau tutup tidak terasa krn banyak wahana yg menarik. Koleksi hewan sangat beragam, banyak wahana permainan, kolam renang, selfie studio, museum satwa, dll. Tempat ibadah dan toilet tersedia banyak. Snack corner dan food court juga tersedia banyak jadi tidak perlu repot bawa bekal. Harga tiket masuk dan harga makanan ramah di kantong 😁👍 Sudah 4 kali ke Jatim Park 2 dan tetap tertarik untuk berkunjung lagi 😊",Jatim Park 2
Veronica Bagoes,5,1 minggu lalu,Hari biasa,"Seru banget, tempatnya luas banget, tapi tidak perlu khawatir kelaparan karena di dalam secret zoo banyak tenant makanan ada yang murah sampai mahal, lalu ada beberapa penjual merchandise seperti baju, baju nya bagus banget tapi mahal huhuhu. Untuk pembelian tiket bisa offline atau online Ada beberapa wahana permainan walaupun tidak sebanyak Jatim park 1 tapi kalian wajib coba, seru banget. Kapan-kapan mau coba Drive thru nya",Jatim Park 2
diah rachmadani,5,1 minggu lalu,Akhir pekan,"Tempat bermain yang menyenangkan. Dalam satu tempat, all in. Ada Museum Satwa, Batu Secret Zoo, dan Metaverse Glass Theater. Kalau ke sini usahakan pagi, karena rute di Batu Secret Zoonya cukup panjang. Tapi puas sekali karena anak-anak antusias melihat hewan-hewan hidup di sana. Hewan-hewannya dipelihara dg baik, bagus dan beraneka ragam. Di dalam juga banyak tempat makan. Ada masjid dan mushola juga. Jadi tidak perlu ke luar wahana.",Jatim Park 2
Opick Salasa,4,1 minggu lalu,Akhir pekan,"Jatim Park 2.. Kesini waktu high season, liburan sekolah anak.. Rame banget.. Dr masuk parkiran udah penuh.. Tapi terbayarkan dengan serunya melihat banyak koleksi hewan menarik di Batu Secret Zoo.. Yg saya pribadi kagum, hewan nya lebih terawat, badan pada berisi, tempatnya juga bersih.. Kalo high season gini, seharian gak cukup buat nonton hewan dan menikmati semua wahana permainan, karena antrian nya di wahana permainan sudah memakan banyak waktu.. Masuk pagi jam 9.30 antri tiket baru jalan jam 11 siang.. Ke virtualnya gak dpt waktu, sampe harus di hari berikutnya.. Overall keren.. Tetep dijaga dgn baik pengelolaan zoo nya, hewan dan tempatnya.. SalamLestari ❤",Jatim Park 2
a tendi,5,1 minggu lalu,Akhir pekan,"Masih paling jadi tujuan utama ketimbang JTP 1 atau 3. Di JTP 2 bisa mengenal berbagai macam hewan langka, lokasinya luas banget, permainannya banyak juga...",Jatim Park 2
Abiyyu Raihan Putra Wikanto,5,2 bulan lalu,Akhir pekan,"Taman di Batu yang berisi kebun binatang, amusement park, dan theme park 🦁🎢🏞️ • Batu Secret Zoo berisi berbagai satwa baik kecil (meerkat, burung, pelican, dan lain-lain) hingga besar (singa, macan putih, Kuda nil, dan lain-lain) serta ada juga akuarium maupun eksibisi kadal. Setelah dari kebun binatangnya anda akan memasuki ke kebun binatang area savanah lalu ke amusement park. Disini anda juga bisa menyewa ""E-bike"" dengan tarif 150K/3 jam dan KTP dibawa oleh staf hingga dikembalikan. • Amusement Park • Museum Satwa • Drive Thru Park Gabungan kebun binatang dan theme park yang hanya bisa dilalui dengan mobil pribadi atau dengan menaiki Ecar bersama orang lain (dan antri). Jika anda menggunakan Ecar maka staf akan memberikan penjelasan tentang drive thru park serta mungkin ada kesempatan memberikan makanan ke satwa. Di tengah perjalanan ada juga ""Rest Area"" dimana anda bisa parkir sebentar untuk membeli snack serta melihat atraksi (tidak mencoba ini dan kurang tahu). Perlu diketahui bahwa kebanyakan jalannya adalah tanjakan. Tarif untuk tiket terusannya adalah 170.000 yang mendapatkan tiket Jatim Park 2 + pilihan antara ecopark atau drive thru park. Saya memilih drive thru park dan menurut saya lumayan aja. Anehnya ketika kami membelinya saat hari libur, tiket yang dijual hanya tiket terusan. Jika bingung tentang tiketnya, anda bisa menanyakan kepada petugasnya. Ketika saya datang ada petugas yang berjaga di depan loket untuk memberikan penjelasan. Sebagai rekomendasi untuk selanjutnya, mungkin di bagian outdoor bisa dikasih lampu penerangan saat harinya lumayan mendung atau tidak cerah agar tidak terlihat gelap.",Jatim Park 2
Faris Nurhakim,5,1 minggu lalu,Hari biasa,"Selalu menyenangkan ke Jatim Park 2 (Batu Secret Zoo). Fasilitas lengkap, wahana banyak, dan hewan yang beragam. Apalagi ada wahana baru drive thru yang seperti Taman Safari, tapi disini yang ditunjukan lebih menarik dan interaksi dengan hewannya lebih banyak.",Jatim Park 2
Syifa Farakha Sari,5,2 bulan lalu,Hari libur nasional,"Tempat wisata yang oke bangettt Ada kebun binatang, museum satwa dan taman bermainnya juga. Cocok banget dikunjungi dengan keluarga. Koleksi hewannya seingat kami lebih banyak dibandingkan dengan bonbin di Jogja maupun Solo. Seneng banget ngelihat hewan-hewannya terawat & ga kurus. Ada area yang full harus berjalan kaki, ada area yang bisa naik buggy car, ada area dengan wahana-wahana bermain yang juga luasss banget. Tersedia banyak toilet yang semuanya bersih & terawat. Tersedia banyak tempat makan dan berbagai pilihan menu makananan (mayoritas pembayaran menggunakan qris). Pegawainya juga informatif semua. Kami beli tiket di aplikasi sehingga tidak perlu mengantri panjang untuk membeli tiket. Tiket di online sudah include Museum Satwa gratis juga. Saran kami untuk membawa payung & jas hujan disposable jika cuacanya mendung & hujan (di dalam ada jual payung & jas hujan tp harganya lebih mahal). Pakailah sandal/sepatu yg nyaman untuk berjalan jauh (total kami berjalan di sini mencapai 8000an langkah). Kalau mau bermain air di wahana air jangan lupa membawa baju ganti. Wheelchair friendly. Mau pakai stroller juga oke (bahkan ada penyewaan stroller di dalam). Area parkirnya sangat luas.",Jatim Park 2
Juhaidah Amalia Putri,4,2 bulan lalu,Hari libur nasional,"Banyak hewan-hewan, cuma dibagian tempat gajah bau pesing menyengat, suasana ramai saat libur lebaran aku kesana harga tiket jauh lebih mahal dari biasanya karena high season juga, area luas banget lumayan capek kalau jalan kaki, ada sewa sepeda listrik tapi mahal per jam nya 175.000. Makanan dan minuman foodcurt terbilang mahal karena tempat wisata contohnya air minum botol aqua 600ml harga 12.000 dan rasa dan menu makanan biasa aja kayak mie ayam, bakso, rawon, nasi pecel terpaksa beli daripada ngga makan karena tidak boleh bawa makanan/bekal dari luar, kalau mau beli di food curt pakai kartu gitu isi ulang saldo di kasir kalau masih ada sisa saldo di kartu bisa dikembalikan. Sama jangan bawa bekal seperti tempat makan soalnya nanti pas dibagian tiket yg bawa ransel atau bawaan banyak bakal digeledah dan kalau ada tempat makan bakal ditahan dibagian pasang tiket.",Jatim Park 2
ARSHAD KAFEEL WAHYUDI,4,1 minggu lalu,Hari libur nasional,"Kesini utk kedua kalinya bersama keluarga, sangat cocok utk bocil, bisa menjadi wisata edukasi terkait hewan. Zoo nya sangat luas.. Kedua kalinya coba mengunjungi wahana baru Metaverse Glass Theater, tapi ngantrinya sangaaat lama.. but worth it dg hasilnya.",Jatim Park 2
