reviewer_name,rating,date,visit_time,review_text,wisata
Guide Local,5,1 minggu lalu,Akhir pekan,"Datang kesini karena menjadi tujuan keluarga saat liburan anak sekolah juli 2025. Banyak hal bisa di lihat di cerna serta dinikmati di area ini. Salahnya kami datang saat weekend, yang mana wisatawan cukup ramai. Banyak tema yang di usung di tempat ini, seperti tema wilayah, tema moda dan koleksi serta parade. Perjalanan cukup jauh, namun menyenangkan. Fasilitas banyak yang baik serta koleksi yang tidak main main. Walau datang sudah sore (sekitar pukul ) namun dapat menyelesaikan hingga akhir sekitar pukul . Parkiran kebetulan di arahkan dari pintu masuk ke kanan, sehingga mendapatkan area indoor ( atap tertutup ) sehingga tidak takut kehujanan serta panas. Lebih baik beli tiket online (bisa dapat promo diskon walau tak banyak) namun untuk grup besar, diskon ini sangat lumayan. Untuk makan dapat di lakukan di area luar.",Museum Angkut
Restu Wijaya,5,3 bulan lalu,Hari biasa,"Wisata Museum Transportasi yang berada di Kota Batu sesuai dengan tema namanya disini menampilkan koleksi transportasi mulai dari yang traditional, klasik sampai dengan modern. mulai dari cikar, becak, mobil² antik jaman dulu sampai dengan F1 bahkan helikopter dan pesawat juga ada. untuk tiket masuk kemarin pas weekday di kenakan 110rb sudah dapat disc voucher makan 10rb yg bisa di tukar ketika kita membeli makanan di dalam Museum Angkut atau di Pasar Apung. Ketika masuk kita sudah di suguhkan mobil² yang sangat keren dan ada beberapa wahana edukasi untuk anak yang bisa dimainkan seperti puzzle dan mewarnai mobil. tempat ini juga di bagi beberapa zona Negara dan tiap zona menampilkan koleksinya masing². untuk yang capek jangan khawatir didalam ada tempat duduk dan juga outlet penjual makan dan minum di lantai 3 tempat koleksi pesawat dan juga di gangster town. dan saat sore hari akan ada atraksi drift dan parade superhero. untuk toilet dan mushola sudah pasti tersedia di beberapa area. ketika kita masuk dan keluar kita akan melewati pasar apung, pasar yang menjual aneka souvenir dan juga makanan dan pasar ini buka sampai malam.",Museum Angkut
diffy fitriand,5,1 minggu lalu,Hari biasa,"Surprisingly, semua unit mobil, kendaraan yang ditawarkan adalah koleksi pribadi yang masih bisa beroperasi normal, dan sesekali diparadekan. Lahannya begitu luas, penataannya apik dan tidak membosankan, tidak bikin capek, selalu ada unsur wow di setiap tematik areanya. Bersih, toilet mudah didapat, ada mushola. Tempat wisata keluarga yang komplit dan full experiences.",Museum Angkut
Fadlillah Akhmadi,4,1 minggu lalu,Hari biasa,"Luar biasa koleksinya, bener-bener bikin kagum. Terutama motor dan mobil kunonya, sampai mikir gimanaaa ini bisa dapet barang2 antik gini. Overall bagus sih, keren. Temlat ini, recomended utk didatangi. Tapi, ini adalah salah saru tempat yg cukup sekali didatangi utk menghilangkan penasaran aja",Museum Angkut
Aghnia Hauna,5,1 minggu lalu,Akhir pekan,"Pembelian tiket dapat dilakukan on the spot atau secara online, namun harus ditukar gelang tiket di tempat (antrian sebelahan). Untuk anak di atas 85 cm dikenai harga tiket penuh. Tempat cukup luas, memerlukan waktu sekitar 45 menit hingga 1 jam untuk mengelilingi museum, belum termasuk jika berhenti untuk bermain di wahana yang disediakan. Di dalam terdapat beberapa atraksi yang dapat dinikmati dengan membayar sekitar 30,000 rb/wahana. Terdapat musholla di tengah museum, tepatnya di area china town. Setelah melewati pintu keluar, pengunjung bisa langsung mampir ke area Pasar Apung yang menyediakan berbagai pilihan kuliner, souvenir, maupun wahana perahu bebek.",Museum Angkut
Mila Monita,5,1 minggu lalu,Akhir pekan,"Wisata Museum Transportasi yang berlokasi di Kota Batu dengan koleksi nya transportasi mulai dari yang traditional, klasik sampai dengan modern. Mengunjungi landmark berbagai negara dengan transportasi khas nya. Luar biasa koleksi Transportasi nya, sangat worth it untuk wisata edukasi. Harga terjangkau sesuai dengan yang di dapatkan, tempat bersih & luas. First time ke sini, sangat memuaskan wisata ke Museum Angkut, tidak sia-sia datang jauh2 ke malang. Recomended to come!!",Museum Angkut
Adjie Tri,4,1 minggu lalu,Hari biasa,"Bener-bener takjub bisa lihat mobil klasik begitu banyak jumlahnya dan masih bisa hidup berjalan semua fungsinya. Ada sejarahnya, ada juga ilmu otomotifnya, terus bisa lihat kemajuan teknologi negara lain berdasarkan dari mobil yg mereka buat. Kalau laper dibawah ada pasar apung yg jual banyak makanan dan minuman, harganya juga murah dan bisa dituker pakai voucher bayarnya. 🏎️ Museum Angkut 02 July 2025",Museum Angkut
atmajaya alviano,5,1 bulan lalu,Hari libur nasional,Ato langsung jajan aj ke pasar apung nya lokasinya persis di depan pintu masuk museum angkut.,Museum Angkut
Fadi Gumilang,5,1 minggu lalu,Hari biasa,"Museum berbagai jenis kendaraan darat, dari gerobak sampai kendaraan roda 4 ada. Koleksinya fantastis, banyak mobil klasik & modern dari berbagai negara mulai dari amerika, inggris, perancis, jerman, dll. Ada juga replika bandar udara & pangkalan peluncuran roket angkasa sebagai pelengkapnya. Tiap sore ada pertunjukan pawai mobil klasik & joget flashmob bersama para superhero.",Museum Angkut
ayesha marcely,5,1 minggu lalu,Hari biasa,"Tempatnya luas ternyata, koleksi mobilnya banyak. Suami dan anak saya sampai cobain ferrari stimulator 2x (berbayar yaa 35rb-50rb). Aksi stuntman kebetulan lg maintanance, untuk tenant makanan kurang enak rasanya maaf ya",Museum Angkut
