reviewer_name,rating,date,visit_time,review_text,wisata
Meri Flamboyan,5,3 bulan lalu,Akhir pekan,"Tempat rekreasi yang selalu didatangi kalo tiap libur karena deket banget sama rumah. Walaupun tempat wisata yang tergolong udah lama (dibangun 1950) tapi cukup seneng karena selalu ada perubahan yang dibuat, mau selalu berinovasi dan berbenah jadinya gak kalah sama wisata yang tergolong baru. Minusnya mungkin lebih panas dari yang dulu karena beberapa lahan yang dulunya pohon harus dikurangi buat wahana. Tiket masuk ada yang terusan dan reguler. Kemarin ambil yang reguler 160.000 untuk 3 orang, sudah termasuk biaya parkir motor. (Tidak include tiket wahana ya) tiap wahana bayar diloket yang udah tersedia didalam selecta. Tersedia toilet untuk air panas dan biasa di dekat kolam renang, ada foodcourt di bawah (dekat lahan parkir) tidak ada makanan berat seperti nasi, kecuali kalau mau ke resto yang ada disana. Ada juga bakso di dekat aula sri paseban, dan sky bike di atas. Buat bioskop 4D nya keren sih, seru banget karena bener² bisa ngrasain realnya.",Taman Selecta
Suwondo S. Kom,5,1 minggu lalu,Akhir pekan,"Keren tempatnya bersih, parkiran tambah luas. tiket masuk semakin mahal, sekarang per orang Rp. 50rb, ada terusan kalau gak salah 80rb. tapi worth it kok. 😊",Taman Selecta
Naytasemarang210494@gmail.com Nayta,5,1 bulan lalu,Hari biasa,"Tempatnya sangat indah dan luasss sangat, banyak wahana dr kolam renang waterboom & kolam dewasa, sky bike, perahu mobil, kereta mini, ada jg taman dinosaurus dg replika patung yg bs bergerak, masjid & toilet jg bersih & luas, ada banyak toko & resto didalam, view aneka tanaman & bunga, ada naik kuda jg, banyak akuarium yg ikannya besar2 & bs d kasih makan, beli makanan nya cuma 5rb",Taman Selecta
febda permana,5,1 minggu lalu,Akhir pekan,"Selecta adalah tempat rekreasi Legend yg berada di Kota Batu, kesini pada waktu liburan atau Akhir pekean suasananya sangat Ramai, banyak permainan, Bunga Bunga, dan banyak ikan Koinya, cocok untuk liburan Keluarga",Taman Selecta
Rony Djunianto,5,1 bulan lalu,Akhir pekan,"Selecta merupakan tempat hiburan di kota Batu yang eksis hingga sekarang. Bayangkan saya kesini untuk pertama kalinya di tahun 1979. Sekarang tahun 2025. Betapa lamanya. Selecta sekarang, amazing. Berbenah demi eksistensi hiburan di kota Batu. Patut diacungi jempol. Ke Selecta kali merupakan tombo kangen bernostalgia buat saya. Paket lengkap. Sukses buat pengelola wisata Selecta.",Taman Selecta
the rath,4,3 bulan lalu,Akhir pekan,Salah satu taman rekreasi dan taman bermain di Kota Batu yang sudah cukup dikenal orang. Areanya luas dan nyaman untuk berekreasi menikmati aneka macam bunga dan permainan. Di sini juga ada kolam renang dan water park untuk anak-anak kecil dan dewasa.,Taman Selecta
Ayuni Sri Rahayu,4,1 bulan lalu,Hari libur nasional,"pemandangannya alam bagus banget, udaranya juga sejuk, adem jangan lupa pake jaket ya buat yang ga kuat ademnya batu, tolong kebersihannya di area sekitar di perhatikan juga yaa, thankyou",Taman Selecta
yenny alfyan,5,1 minggu lalu,Akhir pekan,Super bagus dan bersih tempatnya... Nyaman untuk acara liburan anak Banyak wahana seru...,Taman Selecta
istiardi channel,5,1 bulan lalu,Akhir pekan,"Rekreasi buat keluarga, teman, pacar, sahabat juga rombongan dengan wahana yang lumayan banyak,ada life music,resto area belanja diparkir, Selecta pemandangan yang menarik.",Taman Selecta
Thata Pang,5,3 bulan lalu,Akhir pekan,"Salah satu tempat wisata yang melakukan banyak perubahan. Cocok untuk anak2 dan juga keluarga. Lengkap ada taman dinosauraurus yang bisa bergerak, ikan, kolam renang, bianglala, dll permainan. Restoran, kios2 buah, suvenir. Semua dlm satu lokasi. Sejuk udaranya. Rekomen",Taman Selecta
