reviewer_name,rating,date,visit_time,review_text,wisata
Afifa Koesnandar,1,2 bulan lalu,Akhir pekan,Masuk parkir motor plus tiket 2 orang 30rb..ojek per orang 30 rb..cuma buat lihat air terjun..ngapain ada ojek kan sudah bawa motor sendiri..parkir sengaja dbuat jauh biar nyewa jasa ojeknya..pdhl ada parkir yg dekat kafe kenz..jalur ke coban rais juga tidak dberi tanda petunjuk jalannya ke coban jadi pengunjung bingung..maaf kalo sayabkasih bintang 1..kayaknya ga bakal kesana lagi..sayang juga jadi sepi pdhl weekend.. pemandangan bagus juga..semoga ke depannya dperbaiki pengelolaan wisata cobannya..,Air Terjun Coban Rais
Aline Laluan,1,6 bulan lalu,Hari biasa,"6 bulan lalu Serem, jalanan licin dan byk tanah longsor nya.. Kalau menurut saya se enggaknya ada pemandunya ini kita sendiri yg jalan kaki sendirian dipinggir jurang, dll.. Bagi yg bawa keluarga jangan mau ke coban ini.. Drpd ada tumbal lagi.. Seharusnya melarang untuk mendaki 3km malah dibiarkan kan anehh",Air Terjun Coban Rais
Masjati,1,4 tahun lalu,Tidak diketahui,"Masuk gerbang aja 25 ribu, kalau mau ke air terjun bayar ojek 40 per orang sekali jalan, bolak balik total 105 ribu sekali masuk. Beehhh",Air Terjun Coban Rais
Nilafatul atisna,1,7 tahun lalu,Tidak diketahui,Terlalu ramai karena jalur pejalan kaki menuju bagian atas area jadi satu sama jalur ojek jadi kalau bawa anak-anak bisa lebih berhati-hati dan waspada. Gak nyaman untuk jalan kaki santai menikmati pemandangan.,Air Terjun Coban Rais
Devinta D.N.,1,9 bulan lalu,Tidak diketahui,gua gak ngerti bgt sama management coban rais yang non sense bgt bkn rules masuk ke area barat cafe harus bayar 30k. orang pengen nongkrong aja gak nyampek 30rb bisa masak buat ke cafe aja harus kena charge 30rb. bikin rules tuh yang masuk akal kalo bayar ya 10rb lah minim per kendaraan. 30rb mah mending ke cafe lain gak sih cuma karena jual view aja sampek harus segitunya. padahal dulu aku cafe nya free tuh gak ada biaya masuk2 gtu. gak jelas amat bikin rules.,Air Terjun Coban Rais
Jenny Chuang,1,7 tahun lalu,Tidak diketahui,"Tidak nyaman saat libur nasional, ojek lalu lalang dgn kecepatan tinggi di area pejalan kaki, banyak asap motor, pembatas dg kawat berduri bahaya kalo tanpa sengaja jatuh",Air Terjun Coban Rais
Rendy Fairuz,1,7 tahun lalu,Tidak diketahui,Sungguh penuh perjuangan naik gunung menuju air terjun batu malang.,Air Terjun Coban Rais
R R,1,setahun lalu,Hari biasa,Tidak rekomendasi. Mencoba karena penasaran saja,Air Terjun Coban Rais
Riska Ncis,1,setahun lalu,Akhir pekan,"Saya kesana berdua bawa sepeda motor. Dari loket pertama sudah diarahkan untuk naik ke atas. Lalu di loket kedua, diberitau untuk parkir di bawah, kalo di atas tdk ada yg jaga parkir, takutnya helm hilang dll. Saya gk masalah sama itu, dan dibolehkan naik motor ke atas. Pas sampai atas ternyata ada yg teriakin kalo HARUS parkir di bawah dan naik ke atas pakai ojek. Dan mereka mengharuskan tanpa alasan yang jelas. Saya udah bilang kalo di loket sebelum2nya diperbolehkan bawa motor ke atas. Parkir di bawah itu dekat dgn loket pertama dan kalo naik jalan kaki itu jauhh banget. Padahal jalan utk naik ke atas itu berpaving dan memang bisa dilewatin motor. Di atas juga ada tempat untuk parkir. Saya lgsg tdk mood dan balik pulang",Air Terjun Coban Rais
eqila zahra,1,setahun lalu,Tidak diketahui,"udah beli tiket, tp puter balik gajadi masuk. harga tiket ke coban raisnya tergolong murah, tapi kata penjaganya dari parkir motor menuju ke cobannya memakan waktu 2 jam an dengan jalan kaki, sehingga penjaganya sedikit memaksa untuk menyewa ojek dg tarif 60k pp padahal tertulis 10k untuk sekali jalan. itu sangat tidak worth it",Air Terjun Coban Rais
