reviewer_name,rating,date,visit_time,review_text,wisata
beni nix,1,seminggu lalu,Tidak diketahui,"Paling menyebalkan ketika liat orang merokok padahal area bebas rokok dan itu tempat bermain anak², ternyata yg merokok petugas alon² yg jaga kuda putar.. kecewa",Alun Alun Kota Wisata Batu
Alvin affandi,1,2 minggu lalu,Tidak diketahui,"Pelayanannya diperbaiki lagi, ukuran satenya kecil sekalii",Alun Alun Kota Wisata Batu
yohan nanda,1,4 bulan lalu,Tidak diketahui,Air kolam bau tdk pernah di kuras Biang lala sudah lama rusak tdk di perbaiki Saluran air dijalan bau sekali,Alun Alun Kota Wisata Batu
Junaedi _,1,3 minggu lalu,Tidak diketahui,"Bintang 1 untuk layanan parkir. Minta karcis ke tukang parkir dijawab ""gpp gak usah karcis mas"". pas keluar bayar 2rb tukang parkir jawab ""kurang 3rb mas, parkir sepeda 5rb"". Habis dibayar, tukang parkir langsung ngacir tanpa bantu keluarkan sepeda motor pelanggan. Lokasi kejadian : sekitar papan pemberitahuan tarif parkir alun2, sebrang masjid jami'",Alun Alun Kota Wisata Batu
Seona,1,2 minggu lalu,Tidak diketahui,"parkirnya bikin geger, nyari motor jauh bgt pdhl bener DISITU TADI INTINYA DEPAN POS BUAT PARKIR malah bawa"" daerah PLAT ku !!!!",Alun Alun Kota Wisata Batu
retnoamara dilahsari,1,sebulan lalu,Tidak diketahui,"Kamar mandi kotor parah pesing dan bau kotoran parah, habis makan ke kamar mandi auto muntah,, minimal ada pengharum ruangan bisa diperhatikan lagi kebersihan nya🥲 Toilet Ga layak",Alun Alun Kota Wisata Batu
Sofyan Afri,1,sebulan lalu,Tidak diketahui,"sudah banyak dipasang larangan merokok tapi masih banyak yang merokok di dalam area alun2, mohon pihak terkait bisa lebih ditertibkan",Alun Alun Kota Wisata Batu
Iman Suhadha,1,4 tahun lalu,Tidak diketahui,Dalam kondisi Pandemic ini tolong aparat dapat melakukan penjagaan yg ketat serta pengunjungnya sadar akan kesehatan bersama. Serem melihatnya pengunjung berjubel dan tempat2 makan atau nongkrong tdk prokes berdesakan... Apakah sudah tdk takut atau bisa dgn Pandemic Sangat ramai sekali... Masyarakat butuh hiburan. Banyak tempat nongkrong dan makan 🙏semoga tdk menambah penderita covid-19 di batu-malang 😢😢,Alun Alun Kota Wisata Batu
mikoshiba mikoshiba,1,2 bulan lalu,Tidak diketahui,"SEKARANG SEMUA TUKANG PARKIR DIBATU PKE ROMPI KLO GAADA KARCIS KATANYA GRATIS. Tapi tadi aku minta karcis EH DIBILANG ""GAADA HEHE"" terus kabur aja tuh orang??? NGAPAIN PAKE ROMPI TULISAN BEGITU TOLOLLL DIMINTA KARCIS AJA GAADA, BANTUIN KELUARIN JUGA ENGGA!!!! Plis lah pemkot batu payah banget ngatasin parkir liar begini!!! Gausah sok2an ada tulisan begitu dimana2 lah, jukir nya dipakein rompi gitu pula klo realitanya DIPALAK",Alun Alun Kota Wisata Batu
Master Killer,1,4 bulan lalu,Tidak diketahui,Kamis 24 april 20.38. Minta tolong petugas lebih mengingatkan lagi melalui tulisan DILARANG MEROKOK di daerah play ground. Kalau bisa yang banyak kak biar pada melek orang orang ini gemes bgt! Nanti diingetin merasa jadi korban 🙌🏻 SENGAJA MUKA YANG TIDAK DI SENSOR …,Alun Alun Kota Wisata Batu
