reviewer_name,rating,date,visit_time,review_text,wisata
Sondag Stefanus,1,2 tahun lalu,Tidak diketahui,Ticket mahal. Wahana banyak yg dihilangkan Dan rusak. Hewan banyak dikurangj. Menyesal masuk sini. Amat sangat mahal Banyak yg merokok. Tidak sehat.,Batu Economis Park
jefri suhendra,1,7 tahun lalu,Tidak diketahui,"Tmpatnya bagus, ga jauh dri pusat kota batu dan hrga tiket masuk terjangkau 👌 …",Batu Economis Park
Siti Munawaroh,1,5 tahun lalu,Tidak diketahui,"Jgn kesana pas hari2 sepi karena anda akan kecewa tdk bisa main wahana dgn lengkap percuma bayar mahal. Contoh tdk bisa main angklung,naik kuda🤦‍♀️😁🤭 …",Batu Economis Park
AGUS agus,1,7 tahun lalu,Tidak diketahui,"Petugas mengecewakan dan tdk peduli, tempatnya kotor. Wahana air tdk dinyalakan semua padahal sdh bilang petugas ttp tidak ada yg peduli. Meja dan lantai kotor",Batu Economis Park
Snack and Healthy Juice,1,2 tahun lalu,Akhir pekan,"Pergi bersama rombongan kurleb 60 orang. Membawa si kecil usia 4 thn. si kecil sdh dikenakan tiket penuh Krn tinggi 85 cm. Nyeseknya, wahana bermainnya minim sekali untuk si kecil yg notabene sdh membayar tiket full. Si sulung yg membawa bekal 1 roti kecil tidak diperbolehkan, dan saya dengar dari temannya bahwa ada yg lolos. Petugas sebagian judess, sebagian murah senyum (sedikit). Intinya, GA BAKAL KESINI LAGI",Batu Economis Park
Resya Latuconsina,1,8 tahun lalu,Tidak diketahui,"Mengecewakan sekali, sudah bayar tiket terusan masih saja dikenakan biaya untuk wahana ini itu 😓😓😓 …",Batu Economis Park
Andreas W. Ekowibowo,1,6 tahun lalu,Tidak diketahui,"Kasirnya buruk, saya membeli tiket 4 orang untuk saya, istri dan 2 anak saya seharga @33 rebu (ada diskon 17 rebu di bulan agustus 2019) membayar dengan uang 2 buah 100ribuan. Di kembalikan 18 ribu, saya baru sadar setelah masuk, dan ketika saya komplain ke kasir tidak diterima. Kasir berdalih memberi saya 5 tiket. Sungguh tidak masuk akal, kalo 5 tiket x 33 rebu total menjadi 165 rebu kembaliannya harus nya 35 ribu. Jadi saya membayar 5.5 tiket. Sungguh buruk kasirnya. Semoga hanya terjadi di saya saja. Hari ini minggu 4 Agustus 2019",Batu Economis Park
Sanyu Diandara,1,2 tahun lalu,Tidak diketahui,"staf terlalu meremehkan tamu,lebih banyak nimbrung dan ngobrol,masih jam operasional tetapi air mancur di matikan.minta petugas hidupkan tetapi cuek aja.komplaint sampai ke atas katanya tidak ada di tempat.sampai saat ini saya posting tempat masih dalam tahap renovasi.seharusnya ada diskon jangan bayar penuh",Batu Economis Park
brow & eyelash extention,1,5 tahun lalu,Tidak diketahui,"terlalu minim wahana,hanya terakhir pintu keluar ada rumah hantu,dan pegawai nya yang jaga rumah hantu tidak ramah,tidak melayani dengan baik,sangat kecewa,padahal hanya tiket terlepas tidak boleh masuk ,. huh kecewa tiket masuk 70 ribu hanya melihat macam2 buaya kurang seru",Batu Economis Park
Shendy,1,setahun lalu,Akhir pekan,"Masuk weekend bayar tiket lbh mahal tp wahana tutup semua, tidak niat buka",Batu Economis Park
sofwan maulana,1,2 tahun lalu,Tidak diketahui,"Tempat sempit, kurang wahana kebanyakan untuk anak kecil banyak yang ga bisa. Untuk tiket 70 ga lagi deh",Batu Economis Park
egita kusuma windia S.,1,3 tahun lalu,Tidak diketahui,"Sangat berkesan, edukasi mengena, areax bersih... Pelayananx juga bagus... Pokoknya asyik... Kami guru2 paud sangat meningmati dan senang.... Asyikkkk dek...",Batu Economis Park
Yus Nita,1,6 tahun lalu,Tidak diketahui,"Kurang memuaskan..suara pemandu outbond kurang keras dan suasana outbond kurang kondusif krn ortu tdk dikondisikn sendiri jd anak"" kurang fokus pada kegiatan",Batu Economis Park
Tanti Gaya,1,6 tahun lalu,Tidak diketahui,"Lebih diperbanyak lg binatang"" langka biar pengunjung lbh mengerti binatang apa sj yg hrs dilestarikan tw di jaga hiburannya jg bs ditingkatkan",Batu Economis Park
Gita Diana,1,7 tahun lalu,Tidak diketahui,Bagus HANYA SAJA : 1. Mohon stop menjual kerajinan dari kulit buaya/ular 2. Mohon Tidak menjual sate buaya atau gulai buaya,Batu Economis Park
Darmawan Jays,1,7 tahun lalu,Tidak diketahui,Tempat toilet di kamar ganti kurang nyaman... Karena wanita masuk d tempat pria.. Saran saya di kasih petugas yang tegas di situ... Trim,Batu Economis Park
Andre S Muchammad,1,6 tahun lalu,Tidak diketahui,Not recommended! Dengan biaya tiket yang mahal tapi tempat rekreasinya kecil.,Batu Economis Park
Syamsul Jombang,1,2 tahun lalu,Hari biasa,G recomen blas....rugi bayar 70 tp gitu2 aja,Batu Economis Park
Renaldo Sungkal,1,5 tahun lalu,Tidak diketahui,Wahana kolam pancing cuman hoax 4 kali k sn g pernah d buka,Batu Economis Park
Tan Hengky,1,4 tahun lalu,Tidak diketahui,Karcis msk murah 45 ribu makanan minuman tergolong mahal,Batu Economis Park
Abdul Kholiq,1,3 tahun lalu,Tidak diketahui,"Berbagilah Nasi bungkus disini, jika ada rejeki untuk orang orang yg memerlukan",Batu Economis Park
Julia Aqeela,1,8 tahun lalu,Tidak diketahui,Nyoba ngikuti peta google maps malah diputer2in . Mendingan nyari lokasi liat petunjuk jalan lebih akurat,Batu Economis Park
Ardi Ubaidillah,1,7 tahun lalu,Tidak diketahui,Tempatnya kecil dan tidak ada wahana untuk orang dewasa,Batu Economis Park
Alif Amrulloh,1,8 tahun lalu,Tidak diketahui,Tempatya bagus dan anak-anak lebih kenal mertafofosis buaya,Batu Economis Park
Kwanaccurate Surabaya,1,5 tahun lalu,Tidak diketahui,"terlalu banyak peraturan, yang mengakibatkan menurunkan rasa nyaman",Batu Economis Park
Eny Zunaidah,1,8 tahun lalu,Tidak diketahui,Mau lihat saung angklung hujan...gatot show angklungnya,Batu Economis Park
Deny Dermawan,1,4 tahun lalu,Tidak diketahui,Jelek gk menarik mahal tiketnya,Batu Economis Park
Arsyil Ulum,1,6 tahun lalu,Tidak diketahui,Ke pantai pelang,Batu Economis Park
Iva Salfiah,1,2 tahun lalu,Tidak diketahui,PELAYANAN YANG KURANG RAMAH KEPADA PENGUNJUNG,Batu Economis Park
