reviewer_name,rating,date,visit_time,review_text,wisata
Pt Wibowo (Petarung),1,3 bulan lalu,Hari biasa,"Seperti taman yg baru di bangun dan di tata, pepohonan kurang rindang Kesini rombongan dengan sekolah anak pakai EO dr N.O tour & travel Info dr sekolah dan EO boleh bawa makanan ringan tidak boleh bawa makanan berat(nasi dan lauk pauknya) tetapi nyatanya cemilan makanan ringan ga boleh masuk jd ditahan sama petugas pintu masuk serasa di prank di awal masuk dan ternyata masih ada kelanjutan di dalamnya Klo mau nyoba tiap wahana mesti tanya dulu infonya tiket terusan tapi ada bbrpa wahana yg ada tulisan bisa tiket terusan di loketnya masih suruh berbayar entah dari EO atau pihak pengelola wisata yg kurang informatif....bukan masalah bayarnya kita sudah antri pjg ketika tiba di petugas tiket suruh balik blkg lagi utk beli tiket ckckck Sama yang ga kalah bikin gemes ada petugas baloga ( pakai seragam polo baloga) itu ke kamar mandi musholla ga dilepas sepatunya mana lama lagi dimana kamar mandi itu aksesnya jadi satu dengan akses keluar masuk ke tempat wudhu',jadi keluar dr kamar mandi lgsg pakai sepatu smpai Selasar ke tempat wudhu' pria Semoga lekas berbenah dan ga kebanyakan gimmick utk akses wahananya deh....",Batu Love Garden - BALOGA
Toko Pedia 998,1,3 bulan lalu,Hari biasa,Perlu adanya evaluasi di bagian kolam penjual makanan yang sangat tidak sopan menutup jendela dengan digebrak tidak di situ saja menjual juga dengan membentak-bentak,Batu Love Garden - BALOGA
Moh Faiz Ramdhani,1,2 minggu lalu,Akhir pekan,"1. Minim wahana tidak sesuai harga tiket diakhir pekan 2. Pelayanan kurang satpam tidak berjaga diluar pinggir jalan, malah di dalam 3. Tidak recomended bagi wisatawan dari luar kota",Batu Love Garden - BALOGA
Glenn Ronadi,1,setahun lalu,Hari biasa,"Menariknya di official account IG dan website masih mention ada harga reguler 50k untuk weekdays, nyatanya kita datang hari jumat dan tetap diarahkan beli tilet terusan senilai 90k, jadi merasa makin zonk.",Batu Love Garden - BALOGA
Febrian Bagas Charismanto,1,2 tahun lalu,Tidak diketahui,"Tempat pling zonk kalau menurut saya. Disini ada tempat edukasi tanaman, tapi masih blum tertata konespnya. Tempatnya ga terlalu luas, minim tmpt berteduh jadi klo panas/hujan tak terlindungi. Lbih cocok untuk wisata sama anak kecil disini. Lbih worth ke jtp 3, harganya juga bisa dibilang tidak murah 100k untuk tiket weekend. Didalam ada wahana tapi cocok buat anak kecil.",Batu Love Garden - BALOGA
Dian Dombat Pejoreza,1,5 bulan lalu,Tidak diketahui,"Pengalaman buruk kesini, kita datang untuk cuma sekedar masuk aja ga main wahana karna pas dtg hujan, tp katanya kl weekend harus pakai tiket terusan gabisa reguler aja. Ok kita ikutin, ternyata gak ada info kalo wahana nya saat hujan gak bisa di pakai dr pembelian tiket, jadi zonk banget disana kita ga dpt apa2, awalny mau naik wahana ky naga gitu, tp katanya gak bisa krn lg perbaikan, lanjut mau naik kereta lebah2an gitu pas itu lg rintik2 kecil ga hujan yang gerimis / lebat di tolak kt nya gabisa krn cuaca, akhirnya naik bom bom car cuma boleh sekali wkwkw pas di tanya ke petugas wahana apa lg yg bs dinaikin? Ktnya cuma bom bom car aja, pas minta tambah gak dibolehin . Dan PELAYANAN SANGAT BURUK, pas saya bilang trs klo semua wahana gak bisa di naikin krn alasan cuaca kenapa gak dibilangin dr awal pembelian tiket didepan? Jadi saya masuk cuma untum naik ini aja sekali? Dan petugas kalian jawab nanti boleh naik lg, tapi nanti. Saya tanya dong kapan? Ini kan jam set 5 tutup, pelayan nya bilang kalo wahana jam 5 tutup, widih bohong bgt, terus krn saya ngomong agak nada udah kesel, karyawan disana kayak nantangin bgt, bad attitude di tempat perosotan kaya dtg2 blg, mau naik lebah2an nya gak? Boleh nih naik aja. Pas kondisi hujan nya gerimis deres, tadi pas cuma rintik2 sangat kecil gak dibolehin. Bener2 karyawan nya ga di training kasih pelayanan yg baik sama pengunjung ya? Ga paham cara nge treat pengunjung? Dengan nada tengil gituin pengunjung haha. Pihak management yang bad banget, sekedar closing aja biar orang beli tiket, sampe didalam apapun gak bisa di nikmati. Aturan yang kaku naik bom bom car hanya boleh sekali, wahana lain nya tutup dg alasan hujan. Wwkwkkwwk,alhasil kesana cuma bayar tiket tp zonk😂😂 Pelayanan buruk sekali, cuma pengen closingan tiket aja BATU LOVE GARDEN. Tempat wisata dgn pelayanan buruk dan management buruk. Mending di kasih tau aja sama pengunjung dr depan ""keadaan hujan memungkinkan didalem hanya wahana bom bom car aja dan cuma bisa sekali naik dan tidak ada hewan2 burung yang bisa dikeluarkan"" jgn mau duit closingan tiket aja, pikirin orang dateng2 jauh2 kalau kaya gitu, makan biaya ongkos, waktu dan bayar tiket.",Batu Love Garden - BALOGA
Mochammad Habibi,1,7 bulan lalu,Hari libur nasional,"Tiket overprice, kupon banyak yang tidak berguna (Kupon tidak berlaku kelipatan) wahana seadanya, tidak sesuai ekspektasi. Lebih mending ke SANTERA saja",Batu Love Garden - BALOGA
Aivana Asnindia,1,3 bulan lalu,Hari biasa,Semoga lebih di perbaiki sistem nya agar lebih baik tidak boleh bawah makanan tapi makanan di sana ampun deh gak masuk akal harganya pasti orang ke sini sekali aja harga kopi es teh bisa 30ribu saran saya kalau bawah mknan selipin aja di tas tempatnya masih panas pohonnya belum rindang pegawainya tidak rama apalagi bagian tiket mungkin sariawan 😆,Batu Love Garden - BALOGA
Syarifah Mira,1,2 tahun lalu,Tidak diketahui,"Sejauh perjalanan memuaskan Tapi ketika ada yg ngelas bagian pajangan irisan buah, anehnya mereka ga mau stop ngelas (keluar percikan api) ketika mau lewat.. padahal saya lewat dengan bawa anak 2 balita dan permisi sebelumnya Tapi kecewanya saya... Saya langsung bilang.. saya bayar yaa!! Kalo pun mau buat video promosi, harusnya cari waktu yg tepat dengan tetap menghargai tamu, walaupun itu tamunya hanya beberapa org, hargai mereka Krn mereka membayar!! Saya sudah DM di ig nya Baloga, sudah dapat respon dari mereka, tapi saya menulis disini, biar tim Baloga bisa evaluasi stafnya.. sayang tempatnya bagus tapi pelayanan stafnya krg baik.. Terimakasih Hari ini tgl 17 Maret di post sama Baloga.. ternyata beneran timnya mereka yg usir kami.. ckckck",Batu Love Garden - BALOGA
Cintia Angelina,1,2 bulan lalu,Tidak diketahui,Sayang banget udah disini jam 15.45 tapi tidak bisa masuk karena hanya boleh payment cash. Tidak bisa debit/qris karena sudah settle. Lewat traveloka sdh juga tidak bisa karena maks 15.30. Padahal jauh-jauh kesini dari Surabaya🥲 …,Batu Love Garden - BALOGA
