reviewer_name,rating,date,visit_time,review_text,wisata
Jaka Mahendra,1,5 tahun lalu,Tidak diketahui,"Biro kami membawa group 23 pax ke sini hari ini, Rabu, 16 Okt 2019. Janji ketemu pukul 08.00, pukul 09.00 cuma dapat life-vest, helm, paddle. Tidak ada skipper, tidak ada shuttle untuk ke lokasi. Lama menunggu, tamu kecewa, alasan salah info jadwal ke kepala skipper. Terpaksa geser ke lokasi rafting lain. Ini bukan masalah nominal, tapi masalah profesionalisme.",Batu Rafting
Adecya Nararia Anindita,1,7 tahun lalu,Tidak diketahui,"Pdhl udh booking tp d anggurin dgn alasan guide lg sholat (sholat apa y 2jm???). Udah gitu gak bisa dipastiin kapan bisanya,seolah2 memang disuruh cancel krn guideny g ada yg standby",Batu Rafting
Rifah,1,7 tahun lalu,Tidak diketahui,"Petugas ga profesional, walaupun udah di booking ttp diminta tunggu. Jangan ada yg kesana",Batu Rafting
MWN Jr,1,8 tahun lalu,Tidak diketahui,"Kecewa, tidak professional kerjanya..akhirnya cancel",Batu Rafting
aditya anandika,1,5 tahun lalu,Tidak diketahui,Kurang bersahabat pelayanan,Batu Rafting
Anton Dwi,1,6 tahun lalu,Tidak diketahui,Kecewa berat....,Batu Rafting
Slamet Sutono,2,setahun lalu,Tidak diketahui,1.lokasi sangat strategis diexsit tol caruban 2.parkir lumayan luas 3.tempat makan tersedia banyak tempat 4.makan lumayan enak 5.pelayanan cepat 6.fasum fasos kurang bersih 7.lingkungan kurang diperhatikan,Batu Rafting
Ucik Eunchie,2,setahun lalu,Tidak diketahui,"Pelayanan sangat mengecewakan. Booking untuk acara kantor, tidak ada leader / guide selama acara. Peserta disuruh cari tahu sendiri saat keberangkatan rafting dan selesai rafting untuk makan siang. vendor kurang profesional. Menu makanan yang di request juga beda dengan yang disajikan. Untuk trip raftingnya cukup seru, guide perahunya oke2. Perlu dibenahi lagi pelayanannya.",Batu Rafting
L,2,8 tahun lalu,Tidak diketahui,"Kurang menantang. Mereka meminjamkan saya casing anti air, tapi casingnya robek, airnya masuk, dan ponsel saya pun rusak.",Batu Rafting
Andre Heru,2,7 tahun lalu,Tidak diketahui,Pengalaman arung jeram yang mengerikan.. sepertinya pemandunya tidak profesional. Mereka memaksa untuk tetap melakukan arung jeram dalam kondisi arus yang kuat.,Batu Rafting
laila iskandar,3,setahun lalu,Tidak diketahui,"Bersama teman ktr, dan utk pertama kalinya, ternyata seruuuu jg hehehe",Batu Rafting
Kang Wasis,3,2 tahun lalu,Tidak diketahui,"Level 2 cukup menghibur untuk keluarga, safety perlu ditingkatkan",Batu Rafting
ira Swasti06,3,6 tahun lalu,Tidak diketahui,Cukup menarik meskipun belum deras arus nya tapi menarik,Batu Rafting
perman bym,3,6 tahun lalu,Tidak diketahui,Rekomen buat yg hobi main air.,Batu Rafting
Marko Naibaho,3,6 tahun lalu,Tidak diketahui,Cukup menantang lah,Batu Rafting
Sagit Teguh,3,6 tahun lalu,Tidak diketahui,Asyik tapi memacu adrenali😀😀 …,Batu Rafting
Faiz Dewantara,3,6 tahun lalu,Tidak diketahui,Cukup menarik lokasinya,Batu Rafting
Yohanes Dian Tri Nugroho,3,8 tahun lalu,Tidak diketahui,Cm lewat ja...,Batu Rafting
Info Properti Jatim,3,7 tahun lalu,Tidak diketahui,seru banyak batu besarnya,Batu Rafting
Anwar Hadi,3,6 tahun lalu,Tidak diketahui,Wah tempatnya,Batu Rafting
Aji Rohmat,3,7 tahun lalu,Tidak diketahui,Mnatap lah,Batu Rafting
Asmon Pardede,3,6 tahun lalu,Tidak diketahui,Luar biasa..,Batu Rafting
priyo kuncoro,3,7 tahun lalu,Tidak diketahui,Lumayan,Batu Rafting
Prasetyanto Wibowo,3,8 tahun lalu,Tidak diketahui,"Pemandangan sungai yang bagus, fasilitas buruk, orang-orang baik dan koordinasi",Batu Rafting
Purnomo,3,2 tahun lalu,Tidak diketahui,Menyesap,Batu Rafting
nur toibin,3,6 tahun lalu,Tidak diketahui,Petualangan arung jeram,Batu Rafting
Agoez Kry,3,5 tahun lalu,Tidak diketahui,5 tahun lalu,Batu Rafting
