reviewer_name,rating,date,visit_time,review_text,wisata
Maria Gicella,1,4 bulan lalu,Hari libur nasional,"Kl puasa enggak saya sarankan ke bns,lama tunggu petugasnya kalau buka puasa ,SDH selesai makan masih aja blm dibuka permainannya",Batu Night Spectacular
Siti Nur Jannah,1,sebulan lalu,Tidak diketahui,"Hari Sabtu Tgl 12 juli 2025 malam sekitar pukul 17.55 tolong cek CCTV pihak BNS! sangat kecewa dan jengkel sama pelayanan crew permainan tembak menembak ini ,mas"" yang jaga malah main catur dan jawaban yang di lontarkan ke kami sangat jutek dan pengarahan soal permainannya tidak ada , harus kami yang bertanya dahulu dan jawabnya pun dengan nada jutek. Kalau tidak niat jaga permainannya atau tidak niat kerja mending pulang. Tolong evaluasi kembali pihak BNS! Agar pengunjung lain tidak merasakan hal yang serupa seperti yang saya rasakan.",Batu Night Spectacular
Gigolo Ponk,1,seminggu lalu,Tidak diketahui,"Beli yang terusan Mala byk game yg GK bisa di mainin Ad yg perbaikan, ad yg orgnya pake batasan misal game 4d yg harus min 6 org. Terus pegawai bom2 car-nya ad yg bikin kesel, pegawainya tumben ikut main UD itu terus nabrak teman sy. Kliatan caper modus bgt ke temen sy sampe dia brenti main. Byk jg permainan yg harus di bayar lagi. Waktu main Soft gun juga hanya bisa nembak 3 kali. Aneh bgt, gdk puas2nya, kyk scam jatuhnya",Batu Night Spectacular
cadd inventor,1,2 bulan lalu,Tidak diketahui,"rabu malam, (tanggal tidak saya sebutkan, kasihan petugasnya) ceritanya saya & anak saya masih kecil masuk wahana rumah hantu. saat anak saya memberikan tiket ke petugas dan potongannya diberikan ke anak saya. anak saya tanya, ini potongan tiket diapakan ya? dengan nyengolnya petugas bilang, ""ya disimpanlah!"". namanya anak kecil, tanya juga wajar. jadi petugas jangan sadis² !!!!! apalagi dengan anak kecil di cinema 4D dan bis goyang, petugasnya sangat ramah.",Batu Night Spectacular
Defia Resthu,1,seminggu lalu,Tidak diketahui,"Th 2022 kesana bawa anak2, pas mau naik sepedah terbang atau apa itu namanya, yg nunggu disitu orangnya resek pol. Ga menghargai pengunjung.",Batu Night Spectacular
dindaseptiana,1,3 bulan lalu,Akhir pekan,"Pegawai tidak ramah, di beberapa loket kosong gada yang jaga, ada yang jaga tapi tidur. Beberapa peralatan kotor bahkan bau. Kalau buat harga tiket segitu menurutku kemahalan karena wahana ga begitu menarik dan pelayanan yang buruk, cukup sekali aja.",Batu Night Spectacular
pa l,1,3 bulan lalu,Akhir pekan,"atap nya cinema bocor, teman saya sampai basah kuyup kasian looo, awalnya rembes biasa",Batu Night Spectacular
abey 12345,1,2 bulan lalu,Tidak diketahui,"Sayangnya resto ga ada satupun resmi dr BNS, ga pernah yakin dgn tenant2 kecil tp krn kelaparan terpaksa beli bakso campur + bakso bakar di food garden 6, aduh rasanya ancur.. stlh makan lgs muntah2 ga karuan ada kali 8x muntah di byk toilet stlh melanjutkan perjalanan Mending adakan resto resmi, klo ga ada tenant yg proper, mahal dikit gpp tp terjamin drpd tenant2 kecil kaya gitu",Batu Night Spectacular
Doni Kartiko,1,setahun lalu,Akhir pekan,"Jam 16.00 masih banyak yg belum buka, petugas tidak ramah, mulai pembelian tiket jutek, sampe di dalam petugas sibuk ngerumpi, sebagian malah sembunyi harus dicari dulu petugasnya, klo gak niat buka lebih baik tutup saja",Batu Night Spectacular
imade bayuk,1,setahun lalu,Tidak diketahui,"Jam bsc buka, jam banyak wahana masih tutup. Hasilnya masih nunggu lama, padahal ingin datang awal agar bisa leluasa / tidak antri. Ngga jelas tiket terusan mana yang memang terus tanpa harus bayar lagi mana yang harus bayar. Saran saya: posting yang jelas agar konsumen tidak kecewa.",Batu Night Spectacular
Jo Vanka,1,4 bulan lalu,Tidak diketahui,"Di Instagram dan di google tertulis jam 15.00 sudah buka, tapi kita sampai sana jam 15.07 baru buka gerbang loket, dan setelah masuk belum bisa menikmati wahana, wahananya semua di tes tes dulu, beneran ga profesional ,da jam 15.30 kita blm bisa naik wahana satupun, KL mau tes tes wahana dulu , dirubah jam masuknya pak,jangan jam 15.00,ada yg lagi diservis lah,ada yg di tes tes dulu lah, da tau jam 15.00 buka , wong jam 14.00 kek karyawannya da datang utk persiapan , beneran parah ini",Batu Night Spectacular
Iis Anggraini,1,4 bulan lalu,Hari libur nasional,"Katanya tutup jam 11 di tiket depan jam set 10an masih nerima pengunjung nyatanya setengah sebelas wahana udah pada close . Pegawenya pengen buru"" pulang .",Batu Night Spectacular
