reviewer_name,rating,date,visit_time,review_text,wisata
Faiz Muhammad,1,sebulan lalu,Tidak diketahui,Sangat tidaakk disarankan menurut saya karna yang dipentingkan hanya yang ikut tripp jepp yaa wkwk kalau kita individu kesana gaboleh dikasih waktu buat nyante nyante disungai nya kitaa yang individu disuruh minggir anehh sama smaa bayar tiket tapi kesenjangan diterapkan wkwk anehh panitianya sangat arogan hahahah,Coban Talun
Nur Rohmahtulloh Indah Purnamasari,1,2 bulan lalu,Hari biasa,"Kecewa sama pelayanannya, udah nunggu lama tapi kebun bunganya gadibuka buka, akhirnya terpaksa pindah wisata, udah bayar tiket masuk dan parkir tp gak dapet apa apa",Coban Talun
lala lala,1,5 tahun lalu,Tidak diketahui,"terlalu banyak membayar, viewnya biasa aja, air terjunnya berwarna cokelat untuk keamanan lokasi menuju tempat juga kurang aman.ada ojek jika tidak kuat naik.ada tempat makan, mushola dan toilet yang tidak bersih.banyak sampah, tempat sampah kurang.",Coban Talun
Putri Nur Amalia,1,3 tahun lalu,Tidak diketahui,"Gatau krn apes aja mungkin. Kesana weekday, eh semuanya tutup kecuali air terjun. Tapiii air terjunnya sepiiiiii bgtt. Ngeri. Kesana ga dapet apa apa mana bayar 42k",Coban Talun
Budiono,1,setahun lalu,Hari libur nasional,"ATV medium track tarif 450k utk boncengan . Kata mbaknya rute ditempuh 1,5jam. Lah belum 45 menit wes selesai.",Coban Talun
Buddy Heriawan,1,2 tahun lalu,Tidak diketahui,"Menang banyak itu penjaga Loket masuk ny. Asal sebut nominal. konvoi 5 mobil dgn jumlah org yg sama tp harga ny beda""",Coban Talun
Jag Tesher,1,2 tahun lalu,Akhir pekan,"Air terjun nya buatan dan sdh tidak terawat, tidak usah kesini kalau utk liat air terjun.",Coban Talun
Denny Wiwnesky,1,5 tahun lalu,Tidak diketahui,"Sdh gak kayak dulu. Skrg lbh komersil. Masuknya sdh bayar di loket depan, tapi utk masuk tempat lain masih ditarik tiket lagi 5rb-10rb.",Coban Talun
Septya Z. A. I,1,6 tahun lalu,Tidak diketahui,"Kemarin waktu kesana, setelah bayar tiket masuk, baru dikasih tau kalau jalan ke air terjunnya sedang diperbaiki",Coban Talun
MEI DIAN PUGUH ARYO UTOMO,1,4 tahun lalu,Tidak diketahui,Setiap lokasi harus bayar lagi contoh oyot. pagupon jarak nya juga jauh... Satu dengan yg lain nya kurang memuaskan....,Coban Talun
Moch. Hidayat Suyanto,1,6 tahun lalu,Tidak diketahui,Keseruan piknik...,Coban Talun
Read riadi,1,5 tahun lalu,Tidak diketahui,"Jalur ke air terjun sangat licin dan berbahaya,,",Coban Talun
Sarrry Toni,1,6 tahun lalu,Tidak diketahui,sangat seru bro,Coban Talun
BIAStudio Production,1,4 tahun lalu,Tidak diketahui,Para penjaga wisata kurang ramah,Coban Talun
Rehlatun Solehah,1,6 tahun lalu,Tidak diketahui,Capek...cukup sekali saja...hehehe,Coban Talun
donnie saputra,1,5 tahun lalu,Tidak diketahui,Besok apakah buka?,Coban Talun
agus tiyono,1,5 tahun lalu,Tidak diketahui,Kebanyakan bayaaar,Coban Talun
rikyi tyas,1,3 tahun lalu,Tidak diketahui,Kurang hiburan,Coban Talun
ABUD ONE,1,8 bulan lalu,Tidak diketahui,Sangat sangat buruk dan banyak bau dan kotorannya,Coban Talun
eka rahma,1,3 tahun lalu,Tidak diketahui,"Saya membawa sengatan tawon sebagai hadiah dari tempat ini, terima kasih banyak",Coban Talun
Djony Jeffry Patty,2,2 tahun lalu,Akhir pekan,Tempatnya sih cukup bagus tapi sayang pengelolaanya yang kurang profesional sampai hari libur pun sepi dan spot² selvinya banyak yang terbengkalai dan sepi. Karcis terusan gak ada gunanya karena tak ada penjaganya dan sepi terbengkalai.,Coban Talun
Adinta Valentina,2,4 bulan lalu,Hari biasa,"dateng sendiri ke sini bawa motor kena tarif 34 ribu. awal bilang 20 ribu pas kasih uang 100 ditanya ada 5 ribu atau engga, akhirnya dikasih kembalinya cuma 71. entah bapaknya yang bingung cari kembalian atau emang tarifnya segitu",Coban Talun
Wahyu Eko,2,3 tahun lalu,Hari libur nasional,Mohon pengelola tempat wisata Coban Talun agar memperhatikan obyek wisata OYOT. Sepertinya semenjak pandemi tidak dirawat dengan baik sehingga seperti terlantar. Padahal pengunjung / wisatawan tetap ditarik tiket masuk.,Coban Talun
Gus Roger Danuarto,2,5 tahun lalu,Tidak diketahui,"Lingkunganna' sudah tidak sealami 25 th dulu, trll banyak pedagang mengakibatkan banyak sampah tersebar dimana², khususna' yg tepat dibawah air terjunna', ditambah lagi kurangna' tempat sampah di spot² yg sering dikunjungi wisatawan. Semoga selalu diperhatikan oleh pihak pengelola soal kebersihan dan kealamian lokasi.",Coban Talun
Blood Vlad,2,6 tahun lalu,Tidak diketahui,"Coban nya jauh dari tempat masuk, Kalau mau kamping percuma pesen ground awal awal, kalah sama yg bayar dp di kemudian hari",Coban Talun
botia widyaswari,2,4 tahun lalu,Tidak diketahui,"Sayang akses untuk turun ke air terjun tidak memadai, banyak tertimbun longsoran tanah",Coban Talun
Dian,2,4 tahun lalu,Tidak diketahui,"Tempatnya B aja, banyak bayar2nya",Coban Talun
Malabar Adventure Outdoor Experience,2,3 tahun lalu,Tidak diketahui,Banyak sampah di ground dan sungai,Coban Talun
Otr 1,2,7 tahun lalu,Tidak diketahui,"Aku mosting kok gak masuk""",Coban Talun
Ucok Kinimaka,2,5 tahun lalu,Tidak diketahui,perlu pembenahan fasilitas dan penunjangnya,Coban Talun
Ahmad Rifai,2,6 tahun lalu,Tidak diketahui,Menyenangkan,Coban Talun
Aris Kurniawan,2,4 tahun lalu,Tidak diketahui,suasana sejuk yang indah,Coban Talun
heru heda,2,setahun lalu,Akhir pekan,Tidak direkomendasikan untuk keluarga,Coban Talun
Rickardo Pandiangan,2,4 tahun lalu,Tidak diketahui,Berdebu.,Coban Talun
Farrel Hafiz Aldwinarta,3,3 bulan lalu,Akhir pekan,"Coban Talun adalah wisata air terjun yang menurut saya standar. Pemandangannya masih cukup asri. Ada banyak warung terutama di pintu masuk. Berhubung saya datangnya pagi, sekitar jam 7-8 pagi. Masih banyak warung yang tutup. Tempatnya sangat luas. Banyak lahan kosong cocok untuk camping. Bisa juga buat acara pelatihan kepemimpinan atau sejenisnya. Kalau urusan akses jalan ke objek wisatanya, sudah baik, beraspal. Kalau akses ke air terjunnya yang masih harus was was. Harus menempuh sekitar 800-1000m. Turunnya tidak masalah, naiknya menguras tenaga. Harus hati2, terutama habis hujan. Jalannya bisa licin pol. Tiket masuk ditarik sekitar 25k dan parkir 4k yang menurut saya masih wajar. Ada banyak variasi makanan, mulai makanan kering, seperti pecel, hingga berkuah, seperti soto dan rawon. Harga makanan masih standar. Saya beli minuman Beng-beng 6k, Indomie 8k.",Coban Talun
Wahyu Tri Ananda,3,sebulan lalu,Tidak diketahui,"Akses menuju air terjun mudah dan cukup dekat, tiket masuk tergolong murah, fasilitas di lokasi sudah bagus. Air terjun terbilang cukup tinggi dan deras, namun kualitas airnya terbilang tidak baik, airnya keruh dan cukup banyak sampah.",Coban Talun
Nadia Syaffa,3,6 bulan lalu,Tidak diketahui,"Ke air terjun dengan jalur jalan kaki, ngos ngosan dikit tapi emang itu yang bikin seru. Jalur perjalanan tidak terlalu ekstrim, jika sudah tidak kuat bisa pake ojek. Selama perjalanan melewati taman ayunan dan pohon yang rimbun. Wort it. Air terjunnya cenderung biasa aja, tidak terawat karena banyak sampah.",Coban Talun
