reviewer_name,rating,date,visit_time,review_text,wisata
Feerenza,1,setahun lalu,Akhir pekan,"Mending ke wisata2 lain harga masuk lebih murah, fasilitas nya lebih bagus, pemandangan juga lebih bagus.",Gussari Goa Pinus Batu
Moh Zainal Alim,1,2 tahun lalu,Akhir pekan,Wisata kayak kuburan nih,Gussari Goa Pinus Batu
Arief Budi Wicaksono,1,3 tahun lalu,Tidak diketahui,Sangat kecewa karna tempatnya sudah tidak terawat seperti dulu sedikit kotor banyak yang tidak layak lagi daaaan adanya pintu masuk bayar 2org 25rb itu jg 1 motor apa itu untuk parkir aja? kok di dalam suruh bayar lagi 10rb/org,Gussari Goa Pinus Batu
Rommy Sutanto,1,2 tahun lalu,Akhir pekan,Rugi masuk disini.Ga ada spot menarik karena pada rusak.,Gussari Goa Pinus Batu
Aster Mocca,1,setahun lalu,Hari biasa,"Tempatnya terbengkalai, bahkan banyak tempat duduk yang sudah berlumut.",Gussari Goa Pinus Batu
Charis Lutvian,1,7 tahun lalu,Tidak diketahui,"Not recommended terlalu banyak biyaya lagi di dalam dan tidak sebanding dengan yang kita dapatkan, serasa masuk hutan biasa aja...",Gussari Goa Pinus Batu
rikaamarilis honda,1,4 tahun lalu,Tidak diketahui,Spot gak menarik gak recommended setiap spot bayar lagi mending bukit nirwana atau san tera,Gussari Goa Pinus Batu
mochammad syaifuddin,1,setahun lalu,Hari biasa,"Tempat tidak terawat, harus bayar loket 2x",Gussari Goa Pinus Batu
arina haqq,1,5 tahun lalu,Tidak diketahui,"Destinasi yang standar, bayar di depan di dalem juga bayar, sobat misquin seperti ane dan teman2 harap hati2 aja kwkw, sorry i give 1 star 😛 bad destinasition for money …",Gussari Goa Pinus Batu
reree,1,11 bulan lalu,Tidak diketahui,"HANYA 1 KM WISATA GOA PINUS, UNTUK MASUK LAGI BAYAR LAGI 10RB!!!!!!!",Gussari Goa Pinus Batu
Nizli Grace,1,2 tahun lalu,Hari biasa,Jelek ga wort it bngt bayar 2 kali per orang tempat tidak terawat,Gussari Goa Pinus Batu
m nuh,1,2 tahun lalu,Tidak diketahui,"Mengecewakan, tidak sebanding dg jerih payah perjalanan menuju ke obyek wisatanya",Gussari Goa Pinus Batu
Muflihul Barir,1,4 tahun lalu,Tidak diketahui,Kebanyakan loket. Dikit2 bayar. Gajadi 1 aja langsung di depan,Gussari Goa Pinus Batu
Sasha Cicak,1,7 tahun lalu,Tidak diketahui,Tempat biasa aja kebanyakan tiket masuk lagi di dalamnya,Gussari Goa Pinus Batu
Yusesa Diyan,1,7 tahun lalu,Tidak diketahui,Tempatnya jelek.. Suram dan berhantuuuu.. Nyesel banget kesama...,Gussari Goa Pinus Batu
Kelvin Wisam Syahputra,1,6 tahun lalu,Tidak diketahui,Biaya masuk mahal dan di dalam masih bayar lagi,Gussari Goa Pinus Batu
Dax,1,5 tahun lalu,Tidak diketahui,"gk worth, goa nya hampir bukan sepeeti goa pada umumnya",Gussari Goa Pinus Batu
lauren glou,1,11 bulan lalu,Akhir pekan,kecewa bgt jir,Gussari Goa Pinus Batu
M Nafan Syarahil Nabih,1,2 tahun lalu,Tidak diketahui,Kurang worth it. Gini doang agak mahal.,Gussari Goa Pinus Batu
Andre Setiawan,1,11 bulan lalu,Hari biasa,tidak terawat,Gussari Goa Pinus Batu
Septhika Wulan,1,5 tahun lalu,Tidak diketahui,Harganya mahal tempatnya mini bgt,Gussari Goa Pinus Batu
charly santoso,1,7 tahun lalu,Tidak diketahui,Parkir kurang luas,Gussari Goa Pinus Batu
Ivan Nisyar,1,4 tahun lalu,Tidak diketahui,"Tidak menarik, sdh rusak",Gussari Goa Pinus Batu
abib abib,1,5 tahun lalu,Tidak diketahui,"Jebakan batman, beda view beda tiket",Gussari Goa Pinus Batu
pengguna transportasi,1,5 tahun lalu,Tidak diketahui,Kebanyakan bayar tiap view,Gussari Goa Pinus Batu
Afandi teguh afriyanto,1,4 tahun lalu,Tidak diketahui,bayar bayar terus tempat ini..,Gussari Goa Pinus Batu
