reviewer_name,rating,date,visit_time,review_text,wisata
dian pratama,1,3 bulan lalu,Tidak diketahui,"Secara tempat overall bagus, airnya juga cukup panas dibandingkan di daerah pacet. Namun, layanan wisata yg dikelola pemerintah biasanya emang kalah daripada yg dikelola oleh swasta. Tiket pada hari libur dikenakan 30 rb (1 orang + 1 motor) sdh include fasilitas berendam air panas dan kolam renang. Namun, fasilitas toilet sangat kurang dalam kebersihannya. Toilet pun jg dikenakan biaya pdhl kondisi tidak layak. Selayaknya petugas yg berhubungan lgsg dgn konsumen ialah yg ramah, murah senyum. Jgn yg model seperti ini.",Pemandian Air Panas Cangar
Alexa Dancer,1,2 bulan lalu,Tidak diketahui,Jauh lebih bagus d banding dahulu... Cuma pengunjung yg tak berakhlak terkadang membuat tempat ini mnjdi kurang bersahabat... Salah satu contoh ada beberapa pengunjung yg sengaja memberi makan hewan liar ex.monyet... pdhal jelas2 ada atiran tertulis dilarang memberi makan hewan liar .. pliss rakyat indonesia... Belajar lah disiplin jika ingin hidup LBH bahagia... Begitupun dengan petugas... Sempat saya ingatkan tp petugasnya ga peduli... Sungguh TDK punya rasa tanggung jawab,Pemandian Air Panas Cangar
Karnael Elisandria,1,2 tahun lalu,Tidak diketahui,"Perjalanan menuju pemandian air panas cangar, cuacanya pas bagus dan bukit2 indahnya skrng cangar bukanya jam 8 pagi,jd sdh tidak enak seperti dlu yg bs datang jam 6 pagi jd enak buat rendam badan. kalau skrng datang jam 8 trus smp kolam jam 8.30 dan saat rendam kondisi sinar matahari sdh panas jd tdk nyaman. sebaiknya waktunya dibuat seperti dahulu yg bs datang setiap saat",Pemandian Air Panas Cangar
Dion Karendra (Dany),1,3 bulan lalu,Tidak diketahui,"Masuk 2 org, sy bayar 50rb di kasih kembalian 2rb. Di kasih nota prin2an tertulis total 45rb incl parkir (selisih lebih mahal 3rb dr yg sy bayar). Tapi sy di kasih karcis asuransi 2 lembar (1rb/lembar), lah brrti klo keitung asuransi tadi, harusnya 47rb (masih lebih mahal 1rb dari yg sy bayar), entahlah… Toilet ada yg jaga (ada kotak seperti kotak uang di depan dia, tapi tidak tertulis harga/ket bayar bwt ke toilet) yg jaga toilet hanya duduk, tidak berkata apa2 dan cuman duduk doang. Begitu sudah jam set4 sore (mendekati waktu tutup), yg jaga toilet buka jaket dan ternyata tiiiiitttttt (entahlah…) 🙂",Pemandian Air Panas Cangar
Camondan Teknik,1,sebulan lalu,Tidak diketahui,"Mahal juga ya kalo untuk sekelas wisata alam,dgn fasilitas minim,yg dikit2 bayar",Pemandian Air Panas Cangar
Vhin Navina,1,sebulan lalu,Tidak diketahui,Tolong y mz yg nma nya taufik barbershop27 srh plg y mz drpda aku yang datang sana mz .....,Pemandian Air Panas Cangar
Alvian REZA,1,4 bulan lalu,Tidak diketahui,"Hari ini pemandian tutup karena ada bencana longsor, maps tidak ada info tutup padahal sudah sampai sana haduh2",Pemandian Air Panas Cangar
Go pijat,1,3 tahun lalu,Tidak diketahui,Kamar mandi rusak kotor tidak terawat jadi bingung,Pemandian Air Panas Cangar
Keyta Music Karaoke,1,2 tahun lalu,Tidak diketahui,"Harus nya di loket tiket masuk ditanyai, mau masuk air panas yg biasa atau yg VIP Kmren saya mau masuk di VIP, sekitar jam 11 an. Dan katanya sudah full booked hingga jam tutup... Sedangkan saya tidak ada rencana untuk masuk air panas yg biasa Sia sia donk saya bayar tiket masuk. Akhir pulang ajalah, Bakar duit buat bayar tiket masuk untuk 4 orang 🤣",Pemandian Air Panas Cangar
Dyna Phrathiwi,1,2 tahun lalu,Tidak diketahui,Baru pertama kali kesini kamis minggu lalu bersama ponakan dari luar kota tidak disangka mendapat sambutan yang tidak ramah dr penjaga tiket masuk alasannya mau tutup sekitar jam 15. Kesan awal yang tidak mengenakkan dan diskriminasi.,Pemandian Air Panas Cangar
Sam “ZOMBOY” Kiki,1,10 bulan lalu,Tidak diketahui,"pemandian oke, cmak minus nya di penjual makanan servis kurang, pesenan gk ada yg bener dan gk ramah sama sekali",Pemandian Air Panas Cangar
Rozak,1,2 tahun lalu,Tidak diketahui,"Hari Minggu kesana, pas diloket bayar untuk 3 sepeda motor dan 6 orang. Di karcis tertulis per orang 15rb dan untuk motor 3rb, totalnya 99rb, tapi sama bapak"" loketnya dimintai 110rb. Yang salah tiketnya apa emang begitu petugasnya",Pemandian Air Panas Cangar
SINTHIA,1,setahun lalu,Tidak diketahui,"Jelek sekali sekarang.kamar mandi dekat kolam besar tdk ada airnya.menyulitkan pengunjung,kamar mandi berbayar smua tdk apa2 tp jangan sampai ada yg td berfungsi.semakin jorok karena banyak yg tertipu dan akhirnya buang air besar/kecil tanpa disiram.jadi kapok kesana pas weekend kondisi sangat ramai sekali tapi fasilitas tdk memadai.fatal,karena kita juga sdh membayar,pihak pemandian seharusnya menyiapkan fasilitas yg ckup tanpa ada kamar mandi yg tdk berfungsi baik.",Pemandian Air Panas Cangar
Ello Trans,1,setahun lalu,Tidak diketahui,Kenapa jam 3 sore SDH tutup.itu tempat terapi.harusnya jam5.tempat berendam juga tidak ada pelindung dari panas/ hujan.pengaganya juga sok banget,Pemandian Air Panas Cangar
Edi Purnomo - Kota Batu,1,5 tahun lalu,Tidak diketahui,Tiket terlalu mahal. Kolam sdh pada berlumut sepertinya jarang dibersihkan. Kota Batu sbgai Kota Wisata klo membiarkan Taman Hutan Rakyat seperti ini malah menurunkan daya tarik wisata. Masuk kolam aja bayar lagi.. Parkirnya mahal pula. Saran dari saya agar d perbaiki n tarifnya jgn mahal2. Kasihan rakyat kecil,Pemandian Air Panas Cangar
Bagus Saputra,1,5 tahun lalu,Tidak diketahui,"Kapasitas terlalu kecil untuk pemandian air panas, dengan antusias masyarakat yang ramai tidak di imbangi pembangunan/ perluasan taman wisata pemandian air panas tersebut. Sirkulasi air belum baik , masih terkesan kotor",Pemandian Air Panas Cangar
Mr Top Speed,1,5 tahun lalu,Tidak diketahui,"Payah air bau got badan bau semua batu tajam2. Bukannya tmbh relax dan bersih tapi asli sarang penyakit kuman virus bakteri. Karena sama dengan air got/selokan yang dihangatin. Lumut jamur dimana2 super bau, pertama dan terakhir kali asli nyesel😷🤢 mending pacet padusan yang air panas atas lebih kecil tp bersih sudah disemen, bukan seperti cangar pasir batu tajam lumut jamur dll komplit serasa berendam di got air hangat gile banget kl kalian semua msh berendam disini super jorok dan super bau parah!!!",Pemandian Air Panas Cangar
Ecky MV,1,4 tahun lalu,Tidak diketahui,"Tempat nya bagus namun sangat disayangkan untuk tempat kamar mandi ganti kurang bersih dan kurang banyak jd kalo ramai harus antri dulu, jd tolong dibedakan kamar ganti sama toilet mandi ya , terimakasih semoga lebih baik lagi demi kepuasan pelanggan yg ingin refreshing",Pemandian Air Panas Cangar
Tutut Anggraeni,1,4 tahun lalu,Tidak diketahui,Kasih bintang satu dulu.. Sedikit mengecewakan.. air kolam terlalu kotor.. air tidak panas.. tidak se alami dulu yg menjaga kebersihan.. d samping itu kamar mandi juga selalu rame dan kotor.. jika setiap tahun meningkat nya jumlah penngunjung seharusnya petugas juga harus menyiasati untuk penambahan kamar mandi.,Pemandian Air Panas Cangar
rully indrasari,1,4 tahun lalu,Tidak diketahui,"aduh sangat mengecewakan, bpk petugas yg brdiri didpn loket itu kyk preman aja, Masa Ngasih tau pemberitahuan ke kita ttg jam buka,quota masuk dll ngomongnya dg nada yg kasar, nyolot gtu kyk ga pnya sopan satun aja... Jadi males mau ksni lg..",Pemandian Air Panas Cangar
Revanti Rosnandasari,1,6 tahun lalu,Tidak diketahui,Tempatnya kurang bersih... Bebatuannya kurang diperhatikan karena licin. Kamar mandinya kotor banget.. Sayang sekali pdhal ada turis luar yg juga berkunjung,Pemandian Air Panas Cangar
Syavia “Bella”,1,5 tahun lalu,Tidak diketahui,"Mohon kebersihannya dijaga dan peraturannya diperketat lagi.kasian pengunjung jauh² tapi dapet fasilitas yg sangat tidak nyaman menurutku.tempat ganti wanita tidak ada,saya ga tega liat ibu² dan mbak² ganti ditempat terbuka gitu,karna gada kamar bilas dan kamar gantinya juga kotor dan gada pintu.",Pemandian Air Panas Cangar
Arif Rohman,1,6 tahun lalu,Tidak diketahui,"3 tahun lalu pernah ke Cangar tp sekarang ke cangar lagi masih tetap ..... gak terawat, kotor, kolam air anak2 lebih kotor, kamar ganti dan toilet kurang banget....padahal potensi banget untuk dikembangkan....lebih bagus pemandian air panas Pacet",Pemandian Air Panas Cangar
joko laksono,1,6 tahun lalu,Tidak diketahui,Kurangnya pemkot mojokerto beserta Tahura.....tuk melestarikan serta menjaga tempat pemandian cangar ini sehingga terlihat kumuh.....kalo saya membandingkan dengan pacet jauh lebih bersih pacet.....dan saya harap dari pemkot mojokerto segera tuk diperlebar jalanx diperbaiki sehingga aman.....spot2 jalan yg curam mgkn bs diantisipasi dikasih apa begitu shg aman buat pengendara baik roda 2 maupun roda 4.......,Pemandian Air Panas Cangar
lana maulana,1,7 tahun lalu,Tidak diketahui,"Dari dulu sampai sekarang gk berubah2, yang sangat di sayangkan banyak sampah dimana2 gak profesional blas yang kelola, kapok kesana lagi cukup sekali.. Sampah plastik bekas shampo, sabun makanan, rokok itu lho kok ya gk di buang di tempat yg disediakan, miris sekali kapokkkkkkkk",Pemandian Air Panas Cangar
Eko Hery Saputro,1,4 tahun lalu,Tidak diketahui,Tempat nya bagus sekali namun sayang pengelolaan kurang baik td segi kamar mandi yg masih kotor terus kurangnya kamar ganti yg sedikit,Pemandian Air Panas Cangar
Geofani,1,8 tahun lalu,Tidak diketahui,"Tempat yg rawan akan kecelakaan,tempat parkir mobil yg tidak ketat/rapi, sampai pernah terjadi mobil yg tdk di handrem melaju dan menabrak sekitar 11-15 mobil di parkiran tersebut,beruntung tdk ada korban jiwa dalam kejadian tersebut.m ohon Anda semua berhati2 menyikapi hal ini jika mau berlibur ke tempat ini.",Pemandian Air Panas Cangar
Safitri Safitri,1,3 tahun lalu,Tidak diketahui,Airnya sangat kotor.. kolamnya seharusnya dibersihkan yg ada keramiknya sampai lumutan.. tolong dijaga kebersihannya..,Pemandian Air Panas Cangar
Ubaid Boy,1,2 tahun lalu,Tidak diketahui,Udah bayar parkir bayar tiket masih aja toilet dijaga wkwkw . Toiletpun kurang kebersihanya,Pemandian Air Panas Cangar
Berlin Hutapea,1,2 tahun lalu,Tidak diketahui,Untuk wisata yg terawat MAHAL si Siapin 60 rb an untuk 2 org,Pemandian Air Panas Cangar
Fajar Pradana,1,4 tahun lalu,Tidak diketahui,Tempatnya kotor..tidak terawat. Ada wifi tapi vouchernya harus beli dulu. Harusnya di includekan dengan tiket masuk,Pemandian Air Panas Cangar
Yanto Tri,1,6 tahun lalu,Tidak diketahui,Sebenarnya lumayan enak hanya saja kamar buat ganti n km mandinya sangat jorok ndak pernah dibersihkan.,Pemandian Air Panas Cangar
Wiwik Novitasari,1,2 tahun lalu,Tidak diketahui,Keamananya kurang.. Masak helm diparkiran motor bisa hilang..?? Tadi pagi saya kesana dan helm saya hilang..,Pemandian Air Panas Cangar
Nara Muflih,1,5 tahun lalu,Tidak diketahui,Tempatnya bagus tetapi kolamnya banyak lumut...sehingga licin hati2 yg bawa anak kecil atau yang bawa orang lanjut usia,Pemandian Air Panas Cangar
Bram APM,1,8 tahun lalu,Tidak diketahui,"Tempatnya semakin kotor, bau, tidak terawat",Pemandian Air Panas Cangar
Yogi Alkusuma Putra,1,5 tahun lalu,Tidak diketahui,"Jauh-jauh dari jombang berangkat malam biar bisa nikmatin air panas, eh ternyata gk bisa karna gk ada dasilitas lampu dan sebagainya ... Kecewa bgt",Pemandian Air Panas Cangar
Gusti Iksan,1,5 tahun lalu,Tidak diketahui,Sangat kotor Tidak ada loker Petugas keamanan tidak ada Tidak ada jual makanan Tidak layak untuk umum Kurang perawatan,Pemandian Air Panas Cangar
