reviewer_name,rating,date,visit_time,review_text,wisata
mubarak ahmad,1,sebulan lalu,Akhir pekan,"Airnya gak panas, hangat mendekati dingin, kolamnya kotor ada endapan lumpur sulfur, dinding kolam kuning licin seperti endapan lama tidak dibersihkan, kolam nya hanya 3 saja itupun kecil",Songgoriti Hot Springs
Eugene Niels,1,9 bulan lalu,Akhir pekan,"Tidak rekomendasi!!! hari jumat termasuk weekend htm 50k. Air panas nya mati, kolam jg dingin, hanya kolam sulfur yg hangat (itu saja hangat kuku). Masa iya malam2 berendam, bilas nya air dingin... Ga LUCU... Pegawai nya juga banyak alasan, masa iya customer suruh memahami?",Songgoriti Hot Springs
HENDRIWATI SUSANTI,1,sebulan lalu,Tidak diketahui,"Pengalaman terburuk mandi air panas, di tengah udara dingin malang berharap berendam air panas bisa menghangatkan ternyata zonk.. Air nya tdk panas sama sekali, fasilitas juga buruk, sudah kedinginan berendam , air panas bilas pun mati.. Lebih baik pikir dua kali kalau mau berendam di tempat ini.. Seharusnya sekelas songgoriti hot spring kalau memang air alamnya tidak panas khan bisa menggunakan penghanggat heater air.. Jangan tarip aja yg mahal tapi kualitas pelayanan tidak memuaskan dan zonk..",Songgoriti Hot Springs
Diana,1,setahun lalu,Hari biasa,"Kesini karna lihat akun amazingmalang dan zonk ! ❌️ Mandi belerang tidak sebagus yang di promosikan, tidak sesuai ekspektasi. ❌️air tidak hangat atapun panas, hanya efek blubub blubub tapi air dingin. Bayangkan berendam di cuaca suhu batu yang dingin, dan air tidak hangat sama sekali, cari masuk angin iyaa. ❌️Buat yang paham dan tau mandi belerang akan ada ciri khas aroma belerang. ❌️Biasa berendam belerang akan merubah warna baju yang di pakai saat berendam dan ini tidak. ❌️juga toilet tidak ada air panas. Harga tiket 40k/orang.",Songgoriti Hot Springs
Dimas Yoviano,1,2 tahun lalu,Tidak diketahui,"judulnya aja yg hot springs, tp air nya dingin semua, jgn ekspektasi kaya pemandian air panas pd umumnya ya, makanannya jg kurang banget, rata2 hambar, kopi2annya jg trlalu manis, hanya view pemandangannya aja yg lmyn bagus, live music enak.",Songgoriti Hot Springs
Rani Inggar Rahmawati,1,2 tahun lalu,Tidak diketahui,"pelayan lama untuk makanannya, koordinasi staf jelek keliatan kacau pada waktu jam makan siang,harga juga mahal untuk sekelas menunya mirip warung biasa @100K/orang untuk deposit makanan kalau tidak dipaskan tidak ada kembalian uangnya.",Songgoriti Hot Springs
M Pamski,1,8 bulan lalu,Hari libur nasional,"Saya kesini saat Public Holiday Hari Natal 25/12/2024. Harga tiket 75rb/orang, anak kecil diatas 2tahun dikenakan full harga. Ternyata di dalam hanya ada 3 kolam kecil dengan air hangat(belerang, katanya) Tidak di atur & dipisah mana kolam untuk pria, wanita/ anak2, begitu juga dengan kamar mandi&toilet, keadaan toilet kurang layak. Ada kolam besar, dengan air dingin. Saya fikir untuk apa jauh2 ke Sanggoriti utk berenang air dingin. Pegawai yg handle cleaning Ok sekali sigap saat ada bekas makanan langsung dibersihkan. Perugas receptionis tidak menyapa saat kami hendak pulang melewati area pintu depan. Semoga dapat dibenahi utk lebih baik, krn tidak sepadan fasilitas dg harga.",Songgoriti Hot Springs
diana aha,1,6 bulan lalu,Tidak diketahui,"Tidak sesuai ekspektasi. Semua kolamnya kotor. Air untuk berendamnya tidak panas dan lumutan terus licin. Kamar balasnya kotor, bau, dan sempit.",Songgoriti Hot Springs
Dwi Yulia,1,2 tahun lalu,Tidak diketahui,Maaf agak kecewa karena: 1. Dari pagi datang sampai siang air toilet semua mati jd kesulitan untuk buang air dan mandi bilas.,Songgoriti Hot Springs
Estee Puri,1,2 tahun lalu,Tidak diketahui,"Tidak sebanding dengan harga nya yg min 100 rb per pack, kolam hangat cuma ada 3 kecil dan penuh 😅 makanan dan minuman bisa dilihat sendiri spt yg saya post , dingin semua makanannya ,bonus daun pisang dlm mie 😁 ,gak sesuai ekspektasi sih.. tapi ya pingin kalau lihat di IG kaya bagus ,kalau yg mau berendam mending di cangar kolam nya besar",Songgoriti Hot Springs
