reviewer_name,rating,date,visit_time,review_text,wisata
denny lesmana,5,3 minggu lalu,Akhir pekan,"Air Terjun Coban Rais adalah salah satu destinasi alam yang indah dan menyegarkan di Batu, Malang. Akses menuju air terjun relatif aman dan mudah dilalui, bahkan untuk anak-anak di atas 6 tahun maupun lansia yang masih aktif. Perjalanan menuju lokasi air terjun memakan waktu sekitar 1–1,5 jam, tergantung kecepatan dan kondisi fisik. Jangan lupa mempersiapkan bekal dan air minum, karena tidak ada penjual di sepanjang jalan. Untuk perjalanan pulang, umumnya lebih cepat, sekitar 30 menit hingga 1 jam. Rekomendasi banget buat yang ingin liburan alam bersama keluarga atau teman-teman",Air Terjun Coban Rais
Rizky Maulidia,2,sebulan lalu,Hari libur nasional,"sayang bgt tempat nya sekarang kurang terawat dan jadi terkesan seram. ada tiket masuk juga di awal, di eduplay ada tiket masuk lagi. untuk batu flower garden honestly i don't recomend it. semoga ada perbaikan kedepannya",Air Terjun Coban Rais
Lailatul Fitriani,5,3 bulan lalu,Hari biasa,"Jujurly untuk tempatnya bagus banget, sepertinya dlu sempat viral. Kini kategori terbengkalai sih. Sisa-sisa puing bangung post ojek, warung-warung masih ada. Saya ke sana berempat saama teman. Karena kami tidak riset secara mendalam, jujur kaget dengan medannya. Awalnya gatau kalau jalannya sejauh itu, teman saya sudah hampir nyerah😭 tp saya selalu menguatkan, saya positif sudah dekat. Tp ternyata jauh sekali. Tapi perjalanan panjang kami terbayarkan oleh view yang masyaAllah. Benar-benar syahdu, tapi kami hpir tersesat, saran saya lewat jalur aliran air saja, karena pas ikut papan kami mutar jauh dan lewat ladang-ladang warga. Huhuhu, sepertinya ada yg sengaja mengcau arah petunjuknya. Untuk pengelola saran saya diberitahu ke pengunjung terkait rutenya akan seperti apa. Tp so far kami happy banget, karena air terjunnya serasa milik pribadi. Hehehe. MasyaAllah kami juga disuguhkan dengan pelangi yang indah.",Air Terjun Coban Rais
dwi ratna,5,sebulan lalu,Hari biasa,"Tidak menyangka jalan pagi dadakan ketika menginap di batu campsite dengan bocils bisa sampe ke air terjun coban rais. Memang butuh energi ekstra, tp worthy.",Air Terjun Coban Rais
Ira,5,sebulan lalu,Hari biasa,"Cafe nya oke punya . Mantep. Hawanya sejuk adem. Dari siang sampe sore nongkrong disini dikasi tester cocktail free.. bahkan sampe berkali2.. kayakny g smua customer dikasi 😀😃😄.. tp mnrt saya oke banget sih. Bersih juga .. next bakal jadi Jujugan klo mo nongki yg Tenang. Adem. Bersatu sama Alam... disini sini tempatnya,, banyal tupai di atas pohon pinus bersliweran. Klo kesini mendibg sore. Ga bayar masuk objek wisata soalnya. Free after 04 pm..",Air Terjun Coban Rais
Wafda Nadhifah,4,sebulan lalu,Hari libur nasional,"Saya hanya sampai area parkir saja tidak naik ke Coban. Dia area parkir ada tempat yang cukup luas, bisa digunakan untuk outbound. Terdapat mushola dan kamar mandi yang cukup. Akses menuju lokasi tidak sulit, belum tau kalau ke Coban medannya seperti apa",Air Terjun Coban Rais
Irvan S,4,sebulan lalu,Hari biasa,,Air Terjun Coban Rais
Alvin Zakariya,5,4 bulan lalu,Hari biasa,"untuk yang ke 4 kalinya kesini, mulai awal baru dibuka sampe sekarang ada beberapa spot wisata baru dan ada beberapa spot wisata lama yang sudah tidak terpakai. kemaren kesini bersama keluarga.",Air Terjun Coban Rais
Sri Kumayang,5,3 bulan lalu,Akhir pekan,"awesome, jalan kaki kurleb 1jam untuk mencapai air terjun, pemandangan yang indah, tidak terasa melelahkan Saat sampai, wowww air terjunnya",Air Terjun Coban Rais
Yulis Juwaidi,5,4 bulan lalu,Tidak diketahui,Sebanarnya ini kisah lama kami yg kami share malam ini. Semoga kelak google maps bisa memberi tahu kepada anak cucu bahwa dimalang ada tempat wisata alam nan elok bernama coban rais,Air Terjun Coban Rais
Adhi Mega,5,sebulan lalu,Tidak diketahui,"Tempat Bagus pake banget, perjalanan beneran 60 menit dari tempat parkir, walau pada awalnya tersesat, pada akhirnya terbayar oleh pesona alam yang indah, yang penting mengikuti arus sungai, serta di lengkapi oleh petunjuk arah dah sampai tujuan",Air Terjun Coban Rais
Feerenza,5,2 bulan lalu,Hari biasa,"Berikut adalah review dari kunjunganku ke Coban Rais, Malang. Kelebihan : ➕️ Masuk top 5 air terjun dengan pemandangan terbaik semalang raya menurutku. ➕️ Air terjun yang sangat indah, sangat terkenal namun alamnya masih terjaga. ➕️ Tersedia banyak pilihan tempat lain yang bisa dikunjungi seperti cafe kenz, cafe arah barat, dan batu campsite. ➕️ Ada musholla, toilet, dan banyak warung. Kekurangan : ➖️ Butuh tracking 3km (6km pp) untuk sampai ke air terjunnya, namun ada opsi pakai ojek. ➖️ Selama tracking tidak ada warung sama sekali, namun ada tempat duduk. ➖️ Kalau weekend akan ramai, kalau weekday akan sepi. Itulah yang bisa aku paparkan mengenai pengalamanku mengunjungi tempat ini, semoga membantu, CHEERS!",Air Terjun Coban Rais
dian tembem,5,3 bulan lalu,Hari libur nasional,"1. Kedatangan, akan di berhentikan oleh petugas, dan di tanya apa kerpeluannya, apakah mau ke air terjun atau ke sekitar cafe yang ada di wilayah coban rais. Jika ke air terjun akan di jelaskan lokasi parkir kendaraan, untuk rute menuju kesana kurang lebih 3KM. Karena membawa balita kami tidak mampir ke air terjun. - Untuk playground sangat di sayangkan perawatan yang kurang, karena kebanyakan material berasal dari kayu, dan kurang mendapatkan perawatan ada beberapa kayu yang lepas, lapuk, lepas pakunya. jadi kurang safety ketika di pergunakan oleh anak-anak, dan orang tua memang harus ekstra mengawasi dan andil ketika anak-anak bermain. Untuk playground mengadopsi konsep mini outbound, jadi banyak mainan yang melatih ketangkasan anak. Di sayangkan ketika kesana ketika lebaran, tetapi tidak ada pengunjung lain ketika kami disana, mungkin karena berkunjung di sekitar pukul keatas. 4. Cafe, karena ada beberapa pilihan, cocok untuk muda mudi yang ingin menikmati suasana alam yang tenang dan tetap bisa nongkrong cantik bersama teman-teman. Mungkin dengan adanya HTM bisa lebih di tingkatkan lagi untuk perawatannya. Sayang sekali jika tempatnya sampai terbengkali.",Air Terjun Coban Rais
"Farhan Alfikri, Alc",4,9 bulan lalu,Akhir pekan,"Coban Rais ini jarak dari tempat parkir ke air terjunnya sekitar 3 km, untuk estimasi waktu yang ditempuh dengan jalan kaki sekitar 50 menitan. Untuk jalurnya mungkin lebih cocok atau mirip dengan jalur pendakian, cuma tidak menanjak saja. Jalurnya full alam. Ketika sudah sampai di daerah air terjunnya tidak ada orang yang berjualan seperti halnya di Coban Talun. Tiket masuknya 12.500/orang dengan biaya parkir motor 5.000 dan mobil 10.000. mungkin dari pihak coban Rais bisa memperbaiki atau memperbagus jalurnya. Karena jarak tempuh yang jauh dan Medannya sedikit susah bagi yang tidak terbiasa. Ada batu flower garden juga tetapi harus bayar lagi.",Air Terjun Coban Rais
